copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_vendor6,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,best_pos,gfs,sample_combos,hash
11,Song of Ir Yût (Adept),preferred,Machine Gun,Arc,0,1,0,1,0,"Demolitionist, Feeding Frenzy, Jolting Feedback","Bait and Switch, Cascade Point, Elemental Capacitor",9,,,Bait and Switch+Demolitionist | Bait and Switch+Feeding Frenzy | Bait and Switch+Jolting Feedback | Cascade Point+Demolitionist | Cascade Point+Feeding Frenzy | Cascade Point+Jolting Feedback | Demolitionist+Elemental Capacitor | Elemental Capacitor+Feeding Frenzy | Elemental Capacitor+Jolting Feedback,407511664
12,Deliverance (Adept),preferred,Fusion Rifle,Stasis,0,1,0,1,0,"Compulsive Reloader, Cornered, Crystalline Corpsebloom","Chain Reaction, Chill Clip, Controlled Burst",9,,,Chain Reaction+Compulsive Reloader | Chain Reaction+Cornered | Chain Reaction+Crystalline Corpsebloom | Chill Clip+Compulsive Reloader | Chill Clip+Cornered | Chill Clip+Crystalline Corpsebloom | Compulsive Reloader+Controlled Burst | Controlled Burst+Cornered | Controlled Burst+Crystalline Corpsebloom,2943293195
13,VS Chill Inhibitor,preferred,Grenade Launcher,Stasis,1,0,0,0,1,"Attrition Orbs, Cascade Point, Chill Clip","Chain Reaction, Elemental Honing, Explosive Light",9,,,Attrition Orbs+Chain Reaction | Attrition Orbs+Elemental Honing | Attrition Orbs+Explosive Light | Cascade Point+Chain Reaction | Cascade Point+Elemental Honing | Cascade Point+Explosive Light | Chain Reaction+Chill Clip | Chill Clip+Elemental Honing | Chill Clip+Explosive Light,2452936817
14,Embraced Identity,preferred,Sniper Rifle,Void,1,0,0,1,1,"Destabilizing Rounds, Opening Shot, Permeability","Box Breathing, Fourth Time's the Charm, High Ground",9,,,Box Breathing+Destabilizing Rounds | Box Breathing+Opening Shot | Box Breathing+Permeability | Destabilizing Rounds+Fourth Time's the Charm | Destabilizing Rounds+High Ground | Fourth Time's the Charm+Opening Shot | Fourth Time's the Charm+Permeability | High Ground+Opening Shot | High Ground+Permeability,2821677368
15,Multimach CCX,preferred,Submachine Gun,Kinetic,1,0,0,0,1,"Attrition Orbs, Dynamic Sway Reduction, Iron Gaze","Frenzy, Iron Reach, Kill Clip",9,,,Attrition Orbs+Frenzy | Attrition Orbs+Iron Reach | Attrition Orbs+Kill Clip | Dynamic Sway Reduction+Frenzy | Dynamic Sway Reduction+Iron Reach | Dynamic Sway Reduction+Kill Clip | Frenzy+Iron Gaze | Iron Gaze+Iron Reach | Iron Gaze+Kill Clip,3211624072
16,Midha's Reckoning (Harrowed),preferred,Fusion Rifle,Arc,0,1,0,1,0,"Backup Plan, Cornered, Field Prep","Closing Time, Gear Shift, Golden Tricorn",9,,,Backup Plan+Closing Time | Backup Plan+Gear Shift | Backup Plan+Golden Tricorn | Closing Time+Cornered | Closing Time+Field Prep | Cornered+Gear Shift | Cornered+Golden Tricorn | Field Prep+Gear Shift | Field Prep+Golden Tricorn,3904516037
17,Tempered Dynamo,preferred,Fusion Rifle,Arc,1,0,1,0,1,"Impromptu Ammunition, Kickstart, Opening Shot","Discord, Jolting Feedback, Kill Clip",9,,,Discord+Impromptu Ammunition | Discord+Kickstart | Discord+Opening Shot | Impromptu Ammunition+Jolting Feedback | Impromptu Ammunition+Kill Clip | Jolting Feedback+Kickstart | Jolting Feedback+Opening Shot | Kickstart+Kill Clip | Kill Clip+Opening Shot,2925315757
18,Chain of Command,preferred,Machine Gun,Stasis,1,0,1,0,1,"Headstone, Osmosis, Overflow","Adaptive Munitions, Desperate Measures, Focused Fury",9,,,Adaptive Munitions+Headstone | Adaptive Munitions+Osmosis | Adaptive Munitions+Overflow | Desperate Measures+Headstone | Desperate Measures+Osmosis | Desperate Measures+Overflow | Focused Fury+Headstone | Focused Fury+Osmosis | Focused Fury+Overflow,1716620044
19,Bite of the Fox,preferred,Sniper Rifle,Kinetic,1,0,0,0,1,"Firmly Planted, Hip-Fire Grip, Rapid Hit","Ambitious Assassin, Explosive Payload, Field Prep",9,,,Ambitious Assassin+Firmly Planted | Ambitious Assassin+Hip-Fire Grip | Ambitious Assassin+Rapid Hit | Explosive Payload+Firmly Planted | Explosive Payload+Hip-Fire Grip | Explosive Payload+Rapid Hit | Field Prep+Firmly Planted | Field Prep+Hip-Fire Grip | Field Prep+Rapid Hit,3169616514
20,Auric Disabler,preferred,Auto Rifle,Strand,1,0,0,0,1,"Dragonfly, Gutshot Straight, Hatchling","Desperate Measures, Onslaught, Sword Logic",9,,,Desperate Measures+Dragonfly | Desperate Measures+Gutshot Straight | Desperate Measures+Hatchling | Dragonfly+Onslaught | Dragonfly+Sword Logic | Gutshot Straight+Onslaught | Gutshot Straight+Sword Logic | Hatchling+Onslaught | Hatchling+Sword Logic,702001725
21,Action Item,preferred,Trace Rifle,Stasis,1,0,0,0,1,"Deconstruct, Demolitionist, Dynamic Sway Reduction","Binary Orbit, Crystalline Corpsebloom, Detonator Beam",9,,,Binary Orbit+Deconstruct | Binary Orbit+Demolitionist | Binary Orbit+Dynamic Sway Reduction | Crystalline Corpsebloom+Deconstruct | Crystalline Corpsebloom+Demolitionist | Crystalline Corpsebloom+Dynamic Sway Reduction | Deconstruct+Detonator Beam | Demolitionist+Detonator Beam | Detonator Beam+Dynamic Sway Reduction,527989828
22,Whatchamacallit,preferred,Submachine Gun,Arc,1,0,1,0,1,"Collective Pugilism, Enlightened Action, Headseeker","Dragonfly, Gear Shift, Jolting Feedback",9,,,Collective Pugilism+Dragonfly | Collective Pugilism+Gear Shift | Collective Pugilism+Jolting Feedback | Dragonfly+Enlightened Action | Dragonfly+Headseeker | Enlightened Action+Gear Shift | Enlightened Action+Jolting Feedback | Gear Shift+Headseeker | Headseeker+Jolting Feedback,357669417
23,Wastelander M5,preferred,Shotgun,Kinetic,1,0,0,1,1,"Air Assault, Dual Loader, Ensemble","Adagio, Fragile Focus, Harmony",9,,,Adagio+Air Assault | Adagio+Dual Loader | Adagio+Ensemble | Air Assault+Fragile Focus | Air Assault+Harmony | Dual Loader+Fragile Focus | Dual Loader+Harmony | Ensemble+Fragile Focus | Ensemble+Harmony,1679868061
24,Vision of Confluence (Timelost),preferred,Scout Rifle,Solar,0,1,0,1,0,"Butterfly, Demolitionist, Heal Clip","Burning Ambition, Desperate Measures, Elemental Honing",9,,,Burning Ambition+Butterfly | Burning Ambition+Demolitionist | Burning Ambition+Heal Clip | Butterfly+Desperate Measures | Butterfly+Elemental Honing | Demolitionist+Desperate Measures | Demolitionist+Elemental Honing | Desperate Measures+Heal Clip | Elemental Honing+Heal Clip,337578911
25,Drang,preferred,Sidearm,Solar,1,0,0,1,1,"Collective Pugilism, Discord, Disruption Break","Aggregate Charge, Binary Orbit, Eye of the Storm",9,,,Aggregate Charge+Collective Pugilism | Aggregate Charge+Discord | Aggregate Charge+Disruption Break | Binary Orbit+Collective Pugilism | Binary Orbit+Discord | Binary Orbit+Disruption Break | Collective Pugilism+Eye of the Storm | Discord+Eye of the Storm | Disruption Break+Eye of the Storm,358190158
26,Found Verdict (Timelost),preferred,Shotgun,Arc,0,1,0,1,0,"Aggregate Charge, Barrel Constrictor, Pugilist","Desperate Measures, Elemental Honing, Gear Shift",9,,,Aggregate Charge+Desperate Measures | Aggregate Charge+Elemental Honing | Aggregate Charge+Gear Shift | Barrel Constrictor+Desperate Measures | Barrel Constrictor+Elemental Honing | Barrel Constrictor+Gear Shift | Desperate Measures+Pugilist | Elemental Honing+Pugilist | Gear Shift+Pugilist,851296754
27,Ulterior Observation,preferred,Machine Gun,Stasis,1,0,0,0,1,"Built to Blast, Envious Arsenal, Feeding Frenzy","Adagio, Dragonfly, Dynamic Sway Reduction",9,,,Adagio+Built to Blast | Adagio+Envious Arsenal | Adagio+Feeding Frenzy | Built to Blast+Dragonfly | Built to Blast+Dynamic Sway Reduction | Dragonfly+Envious Arsenal | Dragonfly+Feeding Frenzy | Dynamic Sway Reduction+Envious Arsenal | Dynamic Sway Reduction+Feeding Frenzy,1079872540
28,Prolonged Engagement,preferred,Submachine Gun,Stasis,1,0,1,0,1,"Eye of the Storm, Fourth Time's the Charm, Grave Robber","Encore, Gutshot Straight, Headstone",9,,,Encore+Eye of the Storm | Encore+Fourth Time's the Charm | Encore+Grave Robber | Eye of the Storm+Gutshot Straight | Eye of the Storm+Headstone | Fourth Time's the Charm+Gutshot Straight | Fourth Time's the Charm+Headstone | Grave Robber+Gutshot Straight | Grave Robber+Headstone,2349907931
29,The Time-Worn Spire,preferred,Pulse Rifle,Kinetic,1,0,0,0,1,"Feeding Frenzy, Moving Target, Quickdraw","Iron Gaze, Iron Grip, Iron Reach",9,,,Feeding Frenzy+Iron Gaze | Feeding Frenzy+Iron Grip | Feeding Frenzy+Iron Reach | Iron Gaze+Moving Target | Iron Gaze+Quickdraw | Iron Grip+Moving Target | Iron Grip+Quickdraw | Iron Reach+Moving Target | Iron Reach+Quickdraw,3593598010
30,The Scholar,preferred,Scout Rifle,Kinetic,1,0,0,0,1,"Full Auto Trigger System, Opening Shot, Pulse Monitor","Celerity, Elemental Capacitor, No Distractions",9,,,Celerity+Full Auto Trigger System | Celerity+Opening Shot | Celerity+Pulse Monitor | Elemental Capacitor+Full Auto Trigger System | Elemental Capacitor+Opening Shot | Elemental Capacitor+Pulse Monitor | Full Auto Trigger System+No Distractions | No Distractions+Opening Shot | No Distractions+Pulse Monitor,2478792241
31,The Martlet,preferred,Pulse Rifle,Void,1,0,0,0,1,"Firefly, Headseeker, Keep Away","Desperado, Desperate Measures, Destabilizing Rounds",9,,,Desperado+Firefly | Desperado+Headseeker | Desperado+Keep Away | Desperate Measures+Firefly | Desperate Measures+Headseeker | Desperate Measures+Keep Away | Destabilizing Rounds+Firefly | Destabilizing Rounds+Headseeker | Destabilizing Rounds+Keep Away,877384
32,Strident Whistle,preferred,Combat Bow,Solar,0,0,1,0,1,"Archer's Tempo, Killing Wind, Moving Target","Adrenaline Junkie, Cornered, Dragonfly",9,,,Adrenaline Junkie+Archer's Tempo | Adrenaline Junkie+Killing Wind | Adrenaline Junkie+Moving Target | Archer's Tempo+Cornered | Archer's Tempo+Dragonfly | Cornered+Killing Wind | Cornered+Moving Target | Dragonfly+Killing Wind | Dragonfly+Moving Target,2591241074
33,Steelfeather Repeater,preferred,Auto Rifle,Kinetic,1,0,0,0,1,"Firmly Planted, Grave Robber, Proximity Power","Ancillary Ordinance, Multikill Clip, Surrounded",9,,,Ancillary Ordinance+Firmly Planted | Ancillary Ordinance+Grave Robber | Ancillary Ordinance+Proximity Power | Firmly Planted+Multikill Clip | Firmly Planted+Surrounded | Grave Robber+Multikill Clip | Grave Robber+Surrounded | Multikill Clip+Proximity Power | Proximity Power+Surrounded,771811870
34,Lubrae's Ruin (Adept),preferred,Glaive,Solar,0,1,0,1,0,"Close to Melee, Frenzy, Immovable Object","Bait and Switch, Chaos Reshaped, Incandescent",9,,,Bait and Switch+Close to Melee | Bait and Switch+Frenzy | Bait and Switch+Immovable Object | Chaos Reshaped+Close to Melee | Chaos Reshaped+Frenzy | Chaos Reshaped+Immovable Object | Close to Melee+Incandescent | Frenzy+Incandescent | Immovable Object+Incandescent,1466006054
35,Semiotician,preferred,Rocket Launcher,Strand,1,0,0,1,1,"Field Prep, Impulse Amplifier, Keep Away","Bipod, Danger Zone, Explosive Light",9,,,Bipod+Field Prep | Bipod+Impulse Amplifier | Bipod+Keep Away | Danger Zone+Field Prep | Danger Zone+Impulse Amplifier | Danger Zone+Keep Away | Explosive Light+Field Prep | Explosive Light+Impulse Amplifier | Explosive Light+Keep Away,2922749929
36,Royal Entry,preferred,Rocket Launcher,Void,0,0,1,0,1,"Auto-Loading Holster, Field Prep, Genesis","Ambitious Assassin, Chain Reaction, Clown Cartridge",9,,,Ambitious Assassin+Auto-Loading Holster | Ambitious Assassin+Field Prep | Ambitious Assassin+Genesis | Auto-Loading Holster+Chain Reaction | Auto-Loading Holster+Clown Cartridge | Chain Reaction+Field Prep | Chain Reaction+Genesis | Clown Cartridge+Field Prep | Clown Cartridge+Genesis,2448907086
37,Forbearance (Adept),preferred,Grenade Launcher,Arc,0,1,0,1,0,"Ambitious Assassin, Rolling Storm, Sleight of Hand","Gear Shift, Golden Tricorn, Golden Tricorn Enhanced",9,,,Ambitious Assassin+Gear Shift | Ambitious Assassin+Golden Tricorn | Ambitious Assassin+Golden Tricorn Enhanced | Gear Shift+Rolling Storm | Gear Shift+Sleight of Hand | Golden Tricorn+Rolling Storm | Golden Tricorn+Sleight of Hand | Golden Tricorn Enhanced+Rolling Storm | Golden Tricorn Enhanced+Sleight of Hand,4038592169
38,Crowning Duologue,preferred,Rocket Launcher,Strand,1,0,0,0,1,"Grave Robber, Hatchling, Reconstruction","Cluster Bomb, Deconstruct, Envious Assassin",9,,,Cluster Bomb+Grave Robber | Cluster Bomb+Hatchling | Cluster Bomb+Reconstruction | Deconstruct+Grave Robber | Deconstruct+Hatchling | Deconstruct+Reconstruction | Envious Assassin+Grave Robber | Envious Assassin+Hatchling | Envious Assassin+Reconstruction,4106757302
39,Blowout,preferred,Rocket Launcher,Arc,0,0,1,0,1,"Danger Zone, Sympathetic Arsenal, Thresh","Cluster Bomb, Disruption Break, Lasting Impression",9,,,Cluster Bomb+Danger Zone | Cluster Bomb+Sympathetic Arsenal | Cluster Bomb+Thresh | Danger Zone+Disruption Break | Danger Zone+Lasting Impression | Disruption Break+Sympathetic Arsenal | Disruption Break+Thresh | Lasting Impression+Sympathetic Arsenal | Lasting Impression+Thresh,1903182562
40,Bellowing Giant,preferred,Rocket Launcher,Void,1,0,1,0,1,"Air Trigger, Impromptu Ammunition, Lasting Impression","Aggregate Charge, Bipod, Clown Cartridge",9,,,Aggregate Charge+Air Trigger | Aggregate Charge+Impromptu Ammunition | Aggregate Charge+Lasting Impression | Air Trigger+Bipod | Air Trigger+Clown Cartridge | Bipod+Impromptu Ammunition | Bipod+Lasting Impression | Clown Cartridge+Impromptu Ammunition | Clown Cartridge+Lasting Impression,1889005379
41,Albedo Wing,preferred,Glaive,Arc,1,0,0,0,1,"Beacon Rounds, Clown Cartridge, Immovable Object","Attrition Orbs, Close to Melee, Demolitionist",9,,,Attrition Orbs+Beacon Rounds | Attrition Orbs+Clown Cartridge | Attrition Orbs+Immovable Object | Beacon Rounds+Close to Melee | Beacon Rounds+Demolitionist | Close to Melee+Clown Cartridge | Close to Melee+Immovable Object | Clown Cartridge+Demolitionist | Demolitionist+Immovable Object,2680976411
42,Forthcoming Deviance (Adept),preferred,Glaive,Void,0,1,0,1,0,"Dimensional Shift, Disruption Break, Grave Robber","Chain Reaction, Collective Action, Collective Demolition",9,,,Chain Reaction+Dimensional Shift | Chain Reaction+Disruption Break | Chain Reaction+Grave Robber | Collective Action+Dimensional Shift | Collective Action+Disruption Break | Collective Action+Grave Robber | Collective Demolition+Dimensional Shift | Collective Demolition+Disruption Break | Collective Demolition+Grave Robber,3123651616
43,Indebted Kindness,preferred,Sidearm,Arc,1,0,0,0,1,"Air Trigger, Danger Zone, Deconstruct","Chain Reaction, Gear Shift, Rolling Storm",9,,,Air Trigger+Chain Reaction | Air Trigger+Gear Shift | Air Trigger+Rolling Storm | Chain Reaction+Danger Zone | Chain Reaction+Deconstruct | Danger Zone+Gear Shift | Danger Zone+Rolling Storm | Deconstruct+Gear Shift | Deconstruct+Rolling Storm,2554513694
44,Folded Root,preferred,Rocket Launcher,Void,1,0,0,0,1,"Ambitious Assassin, Cluster Bomb, Lead From Light","Destabilizing Rounds, Frenzy, Multikill Clip",9,,,Ambitious Assassin+Destabilizing Rounds | Ambitious Assassin+Frenzy | Ambitious Assassin+Multikill Clip | Cluster Bomb+Destabilizing Rounds | Cluster Bomb+Frenzy | Cluster Bomb+Multikill Clip | Destabilizing Rounds+Lead From Light | Frenzy+Lead From Light | Lead From Light+Multikill Clip,3184457500
45,Positive Outlook,preferred,Auto Rifle,Void,1,0,1,0,1,"Invisible Hand, Perfect Float, Perpetual Motion","Adaptive Munitions, Cascade Point, Dragonfly",9,,,Adaptive Munitions+Invisible Hand | Adaptive Munitions+Perfect Float | Adaptive Munitions+Perpetual Motion | Cascade Point+Invisible Hand | Cascade Point+Perfect Float | Cascade Point+Perpetual Motion | Dragonfly+Invisible Hand | Dragonfly+Perfect Float | Dragonfly+Perpetual Motion,491078457
46,Nox Sidereal IV,preferred,Fusion Rifle,Stasis,1,0,1,0,1,"Clown Cartridge, Proximity Power, Shot Swap","Discord, Master of Arms, Reservoir Burst",9,,,Clown Cartridge+Discord | Clown Cartridge+Master of Arms | Clown Cartridge+Reservoir Burst | Discord+Proximity Power | Discord+Shot Swap | Master of Arms+Proximity Power | Master of Arms+Shot Swap | Proximity Power+Reservoir Burst | Reservoir Burst+Shot Swap,2875763009
47,Bad Omens,preferred,Rocket Launcher,Void,1,0,1,0,1,"Auto-Loading Holster, Bipod, Light Touch","Bait and Switch, Elemental Honing, Explosive Light",9,,,Auto-Loading Holster+Bait and Switch | Auto-Loading Holster+Elemental Honing | Auto-Loading Holster+Explosive Light | Bait and Switch+Bipod | Bait and Switch+Light Touch | Bipod+Elemental Honing | Bipod+Explosive Light | Elemental Honing+Light Touch | Explosive Light+Light Touch,1996201272
48,Volta Bracket,preferred,Sniper Rifle,Strand,1,0,0,1,1,"Ambitious Assassin, Keep Away, Lucky Shot","Eye of the Storm, Firing Line, Mega Kill Clip",9,,,Ambitious Assassin+Eye of the Storm | Ambitious Assassin+Firing Line | Ambitious Assassin+Mega Kill Clip | Eye of the Storm+Keep Away | Eye of the Storm+Lucky Shot | Firing Line+Keep Away | Firing Line+Lucky Shot | Keep Away+Mega Kill Clip | Lucky Shot+Mega Kill Clip,3920310144
49,Sightline Survey,preferred,Hand Cannon,Arc,1,0,0,1,1,"Air Trigger, Enlightened Action, Fragile Focus","Encore, Kill Clip, Opening Shot",9,,,Air Trigger+Encore | Air Trigger+Kill Clip | Air Trigger+Opening Shot | Encore+Enlightened Action | Encore+Fragile Focus | Enlightened Action+Kill Clip | Enlightened Action+Opening Shot | Fragile Focus+Kill Clip | Fragile Focus+Opening Shot,2350330520
50,Ribbontail,preferred,Trace Rifle,Strand,1,0,0,0,1,"Envious Arsenal, Subsistence, Threat Detector","Binary Orbit, Detonator Beam, Killing Tally",9,,,Binary Orbit+Envious Arsenal | Binary Orbit+Subsistence | Binary Orbit+Threat Detector | Detonator Beam+Envious Arsenal | Detonator Beam+Subsistence | Detonator Beam+Threat Detector | Envious Arsenal+Killing Tally | Killing Tally+Subsistence | Killing Tally+Threat Detector,407150808
51,Micromort,preferred,Rocket Launcher,Arc,1,0,0,0,1,"Clown Cartridge, Cluster Bomb, Lead From Light","Bait and Switch, Paracausal Affinity, Rolling Storm",9,,,Bait and Switch+Clown Cartridge | Bait and Switch+Cluster Bomb | Bait and Switch+Lead From Light | Clown Cartridge+Paracausal Affinity | Clown Cartridge+Rolling Storm | Cluster Bomb+Paracausal Affinity | Cluster Bomb+Rolling Storm | Lead From Light+Paracausal Affinity | Lead From Light+Rolling Storm,602331467
52,Retrofuturist,preferred,Shotgun,Void,1,0,1,0,1,"Auto-Loading Holster, Dual Loader, Feeding Frenzy","Barrel Constrictor, Deconstruct, Destabilizing Rounds",9,,,Auto-Loading Holster+Barrel Constrictor | Auto-Loading Holster+Deconstruct | Auto-Loading Holster+Destabilizing Rounds | Barrel Constrictor+Dual Loader | Barrel Constrictor+Feeding Frenzy | Deconstruct+Dual Loader | Deconstruct+Feeding Frenzy | Destabilizing Rounds+Dual Loader | Destabilizing Rounds+Feeding Frenzy,1612781792
53,Qua Vinctus IV,preferred,Machine Gun,Strand,1,0,1,0,1,"Built to Blast, Demolitionist, Hatchling","Killing Tally, Lone Wolf, Meganeura",9,,,Built to Blast+Killing Tally | Built to Blast+Lone Wolf | Built to Blast+Meganeura | Demolitionist+Killing Tally | Demolitionist+Lone Wolf | Demolitionist+Meganeura | Hatchling+Killing Tally | Hatchling+Lone Wolf | Hatchling+Meganeura,4176551594
54,Python,preferred,Shotgun,Void,1,0,1,0,1,"Dimensional Shift, Loose Change, Overflow","Destabilizing Rounds, Harmony, One-Two Punch",9,,,Destabilizing Rounds+Dimensional Shift | Destabilizing Rounds+Loose Change | Destabilizing Rounds+Overflow | Dimensional Shift+Harmony | Dimensional Shift+One-Two Punch | Harmony+Loose Change | Harmony+Overflow | Loose Change+One-Two Punch | One-Two Punch+Overflow,4276696962
55,The Heron,preferred,Glaive,Void,1,0,0,0,1,"Envious Assassin, Lead from Gold, Proximity Power","Close to Melee, Redirection, Sword Logic",9,,,Close to Melee+Envious Assassin | Close to Melee+Lead from Gold | Close to Melee+Proximity Power | Envious Assassin+Redirection | Envious Assassin+Sword Logic | Lead from Gold+Redirection | Lead from Gold+Sword Logic | Proximity Power+Redirection | Proximity Power+Sword Logic,2246386812
56,Patron of Lost Causes,preferred,Scout Rifle,Kinetic,1,0,0,0,1,"Field Prep, Grave Robber, Mulligan","Opening Shot, Osmosis, Under Pressure",9,,,Field Prep+Opening Shot | Field Prep+Osmosis | Field Prep+Under Pressure | Grave Robber+Opening Shot | Grave Robber+Osmosis | Grave Robber+Under Pressure | Mulligan+Opening Shot | Mulligan+Osmosis | Mulligan+Under Pressure,2723241847
57,No Hesitation,preferred,Auto Rifle,Solar,1,0,0,1,1,"Burning Ambition, Ensemble, Physic","Attrition Orbs, Circle of Life, Disruption Break",9,,,Attrition Orbs+Burning Ambition | Attrition Orbs+Ensemble | Attrition Orbs+Physic | Burning Ambition+Circle of Life | Burning Ambition+Disruption Break | Circle of Life+Ensemble | Circle of Life+Physic | Disruption Break+Ensemble | Disruption Break+Physic,1801007332
58,Nightshade,preferred,Pulse Rifle,Strand,1,0,1,0,1,"Lead From Light, Outlaw, Slice","Feeding Frenzy, Hatchling, Headseeker",9,,,Feeding Frenzy+Lead From Light | Feeding Frenzy+Outlaw | Feeding Frenzy+Slice | Hatchling+Lead From Light | Hatchling+Outlaw | Hatchling+Slice | Headseeker+Lead From Light | Headseeker+Outlaw | Headseeker+Slice,1559068369
59,Imminence (Adept),preferred,Submachine Gun,Strand,0,1,0,1,0,"Ambitious Assassin, Perpetual Motion, Tear","Firefly, Paracausal Affinity, Strategist",9,,,Ambitious Assassin+Firefly | Ambitious Assassin+Paracausal Affinity | Ambitious Assassin+Strategist | Firefly+Perpetual Motion | Firefly+Tear | Paracausal Affinity+Perpetual Motion | Paracausal Affinity+Tear | Perpetual Motion+Strategist | Strategist+Tear,3951511045
