PERFECT VAULT SOLUTION (full mode)
Unordered trait combos in plane: 9434
Total physical copies: 2890
Preferred 3x3 copies: 1620
Gap-fill 1x1 copies: 1270
Distinct weapon models: 558
Unsolved: 0

Each entry is one physical vault gun.
Preferred: roll the listed perks in trait column 2 and column 3 (up to 3 each = 3x3).
Gap-fill: roll exactly that one combo (1x1).
Combinations are unordered: A+B is the same as B+A globally.

========================================================================
SUMMARY BY WEAPON (copies needed)
========================================================================
x 24  [fallback ]  The Enigma  (24 combos covered)
x 23  [fallback ]  Heritage  (23 combos covered)
x 23  [fallback ]  Succession  (23 combos covered)
x 23  [fallback ]  Tyranny of Heaven  (23 combos covered)
x 22  [fallback ]  Commemoration  (22 combos covered)
x 22  [fallback ]  Posterity  (22 combos covered)
x 21  [fallback ]  Techeun Force  (21 combos covered)
x 20  [fallback ]  Accrued Redemption  (20 combos covered)
x 20  [fallback ]  Prophet of Doom  (20 combos covered)
x 19  [fallback ]  Neoptolemus II  (19 combos covered)
x 19  [fallback ]  Transfiguration  (19 combos covered)
x 18  [fallback ]  Chattering Bone  (18 combos covered)
x 18  [fallback ]  Nation of Beasts  (18 combos covered)
x 18  [fallback ]  The Supremacy  (18 combos covered)
x 17  [fallback ]  Come to Pass  (17 combos covered)
x 16  [preferred]  Strident Whistle  (52 combos covered)
x 16  [fallback ]  Adverse Possession IX  (16 combos covered)
x 16  [fallback ]  Apex Predator  (16 combos covered)
x 16  [fallback ]  Omniscient Eye  (16 combos covered)
x 16  [fallback ]  Pro Memoria  (16 combos covered)
x 16  [fallback ]  Trustee  (16 combos covered)
x 16  [fallback ]  Zealot's Reward  (16 combos covered)
x 15  [preferred]  Blowout  (48 combos covered)
x 15  [fallback ]  Age-Old Bond  (15 combos covered)
x 15  [fallback ]  Reckless Oracle  (15 combos covered)
x 13  [preferred]  Retrofuturist  (49 combos covered)
x 13  [preferred]  Joxer's Longsword  (42 combos covered)
x 13  [preferred]  Breakneck  (40 combos covered)
x 13  [fallback ]  Bequest  (13 combos covered)
x 13  [fallback ]  Controlling Vision  (13 combos covered)
x 13  [fallback ]  Crux Termination IV  (13 combos covered)
x 13  [fallback ]  Suspectum-4fr  (13 combos covered)
x 12  [preferred]  Midha's Reckoning (Harrowed)  (35 combos covered)
x 12  [fallback ]  Ancient Gospel  (12 combos covered)
x 12  [fallback ]  Arsenic Bite-4b  (12 combos covered)
x 11  [preferred]  Non-Denouement (Adept)  (34 combos covered)
x 11  [fallback ]  Fel Taradiddle  (11 combos covered)
x 11  [fallback ]  Likely Suspect  (11 combos covered)
x 10  [preferred]  Lubrae's Ruin (Adept)  (47 combos covered)
x 10  [preferred]  Corrective Measure (Timelost)  (41 combos covered)
x 10  [preferred]  Laser Painter  (39 combos covered)
x 10  [preferred]  Critical Anomaly (Adept)  (38 combos covered)
x 10  [preferred]  Wicked Sister  (34 combos covered)
x 10  [fallback ]  Combined Action  (10 combos covered)
x 10  [fallback ]  Cruoris FR4  (10 combos covered)
x 10  [fallback ]  Father's Sins  (10 combos covered)
x 10  [fallback ]  Forensic Nightmare  (10 combos covered)
x 10  [fallback ]  Ignition Code  (10 combos covered)
x 10  [fallback ]  Judgment of Kelgorath  (10 combos covered)
x 10  [fallback ]  Lethophobia  (10 combos covered)
x 10  [fallback ]  Nezarec's Whisper  (10 combos covered)
x 10  [fallback ]  Sacred Provenance  (10 combos covered)
x 10  [fallback ]  Scalar Potential  (10 combos covered)
x 10  [fallback ]  Scatter Signal  (10 combos covered)
x 10  [fallback ]  Swarm of the Raven  (10 combos covered)
x 10  [fallback ]  The Eremite  (10 combos covered)
x  6  [fallback ]  Pizzicato-22  (6 combos covered)
x  6  [fallback ]  Pleiades Corrector  (6 combos covered)
x  6  [fallback ]  Sailspy Pitchglass  (6 combos covered)
x  6  [fallback ]  Sovereignty  (6 combos covered)
x  6  [fallback ]  Speleologist  (6 combos covered)
x  6  [fallback ]  Supercluster  (6 combos covered)
x  6  [fallback ]  Tarnation  (6 combos covered)
x  6  [fallback ]  The Epicurean  (6 combos covered)
x  6  [fallback ]  Warlord's Spear  (6 combos covered)
x  6  [fallback ]  Wolftone Draw  (6 combos covered)
x  5  [preferred]  Song of Ir Yût (Adept)  (33 combos covered)
x  5  [preferred]  Keraunios  (31 combos covered)
x  5  [preferred]  Locus Locutus  (31 combos covered)
x  5  [preferred]  Bellowing Giant  (30 combos covered)
x  5  [preferred]  Semiotician  (30 combos covered)
x  5  [preferred]  Finite Impactor  (29 combos covered)
x  5  [preferred]  Briar's Contempt (Adept)  (28 combos covered)
x  5  [preferred]  False Idols  (28 combos covered)
x  5  [preferred]  Koraxis's Distress (Adept)  (28 combos covered)
x  5  [preferred]  Nessa's Oblation (Adept)  (28 combos covered)
x  5  [preferred]  Parabellum  (28 combos covered)
x  5  [preferred]  Rapid Growth  (28 combos covered)
x  5  [preferred]  Xenoclast IV  (28 combos covered)
x  5  [preferred]  Ammit AR2  (27 combos covered)
x  5  [preferred]  Bygones  (27 combos covered)
x  5  [preferred]  Ecliptic Distaff  (27 combos covered)
x  5  [preferred]  Hezen Vengeance (Timelost)  (27 combos covered)
x  5  [preferred]  Nightshade  (27 combos covered)
x  5  [preferred]  Fortissimo-11  (26 combos covered)
x  5  [preferred]  King Orfeo  (26 combos covered)
x  5  [preferred]  No Feelings  (26 combos covered)
x  5  [preferred]  Tempered Dynamo  (26 combos covered)
x  5  [preferred]  The Beacon  (26 combos covered)
x  5  [preferred]  Abyssal Edge  (25 combos covered)
x  5  [preferred]  Bad Omens  (25 combos covered)
x  5  [preferred]  Herod-C  (25 combos covered)
x  5  [preferred]  Nullify (Adept)  (25 combos covered)
x  5  [preferred]  Round Robin  (25 combos covered)
x  5  [preferred]  Stryker's Sure-Hand  (25 combos covered)
x  5  [preferred]  Summum Bonum (Adept)  (25 combos covered)
x  5  [preferred]  Tatara Gaze  (25 combos covered)
x  5  [preferred]  The Call  (25 combos covered)
x  5  [preferred]  Cry Mutiny  (24 combos covered)
x  5  [preferred]  Doomsday  (24 combos covered)
x  5  [preferred]  Praedyth's Revenge (Timelost)  (24 combos covered)
x  5  [preferred]  Watchful Eye  (24 combos covered)
x  5  [preferred]  Abyss Defiant (Adept)  (23 combos covered)
x  5  [preferred]  Acasia's Dejection (Adept)  (23 combos covered)
x  5  [preferred]  Borrowed Time  (23 combos covered)
x  5  [preferred]  Ill Omen  (23 combos covered)
x  5  [preferred]  Resounding  (23 combos covered)
x  5  [preferred]  The Title  (23 combos covered)
x  5  [preferred]  Unwavering Duty  (23 combos covered)
x  5  [preferred]  Bottom Dollar  (22 combos covered)
x  5  [preferred]  Solemn Lie  (22 combos covered)
x  5  [preferred]  Crowd Pleaser  (21 combos covered)
x  5  [preferred]  Salvager's Salvo  (21 combos covered)
x  5  [preferred]  Afterlight (Adept)  (20 combos covered)
x  5  [preferred]  Ragnhild-D  (19 combos covered)
x  5  [fallback ]  Bitter/Sweet  (5 combos covered)
x  5  [fallback ]  Brigand's Law  (5 combos covered)
x  5  [fallback ]  CALUS Mini-Tool  (5 combos covered)
x  5  [fallback ]  Caretaker  (5 combos covered)
x  5  [fallback ]  Enyo-D  (5 combos covered)
x  5  [fallback ]  Faith-Keeper  (5 combos covered)
x  5  [fallback ]  Fioritura-59  (5 combos covered)
x  5  [fallback ]  Qua Furor V  (5 combos covered)
x  5  [fallback ]  Regnant  (5 combos covered)
x  5  [fallback ]  Royal Executioner  (5 combos covered)
x  5  [fallback ]  The Vision  (5 combos covered)
x  5  [fallback ]  Throne-Cleaver  (5 combos covered)
x  5  [fallback ]  Without Remorse  (5 combos covered)
x  4  [preferred]  Tinasha's Mastery  (27 combos covered)
x  4  [preferred]  Willful Hamartia  (27 combos covered)
x  4  [preferred]  Haliaetus  (26 combos covered)
x  4  [preferred]  Ribbontail  (26 combos covered)
x  4  [preferred]  21% Delirium  (25 combos covered)
x  4  [preferred]  Eleatic Principle  (25 combos covered)
x  4  [preferred]  Fimbulwinter Stitch  (25 combos covered)
x  4  [preferred]  Hullabaloo  (25 combos covered)
x  4  [preferred]  Liturgy  (25 combos covered)
x  4  [preferred]  Python  (25 combos covered)
x  4  [preferred]  Sightline Survey  (25 combos covered)
x  4  [preferred]  Submersion  (25 combos covered)
x  4  [preferred]  Action Item  (24 combos covered)
x  4  [preferred]  Adamantite (Adept)  (24 combos covered)
x  4  [preferred]  Agape  (24 combos covered)
x  4  [preferred]  Fortunate Star  (24 combos covered)
x  4  [preferred]  Gunburn  (24 combos covered)
x  4  [preferred]  Mechabre  (24 combos covered)
x  4  [preferred]  Shayura's Wrath  (24 combos covered)
x  4  [preferred]  Shoreline Dissident  (24 combos covered)
x  4  [preferred]  Taipan-4fr  (24 combos covered)
x  4  [preferred]  The Slammer  (24 combos covered)
x  4  [preferred]  Wild Style  (24 combos covered)
x  4  [preferred]  Zephyr  (24 combos covered)
x  4  [preferred]  A Distant Pull  (23 combos covered)
x  4  [preferred]  BxR-55 Battler  (23 combos covered)
x  4  [preferred]  Dawn Far Off  (23 combos covered)
x  4  [preferred]  Mirror Imago (Adept)  (23 combos covered)
x  4  [preferred]  Monody-44  (23 combos covered)
x  4  [preferred]  Patron of Lost Causes  (23 combos covered)
x  4  [preferred]  Peculiar Charm  (23 combos covered)
x  4  [preferred]  Taraxippos  (23 combos covered)
x  4  [preferred]  The Heron  (23 combos covered)
x  4  [preferred]  The Martlet  (23 combos covered)
x  4  [preferred]  Triple Laureate  (23 combos covered)
x  4  [preferred]  Unfall  (23 combos covered)
x  4  [preferred]  Acosmic  (22 combos covered)
x  4  [preferred]  Anamnesis (Adept)  (22 combos covered)
x  4  [preferred]  Ascendancy  (22 combos covered)
x  4  [preferred]  Cataphract GL3  (22 combos covered)
x  4  [preferred]  Corundum Hammer  (22 combos covered)
x  4  [preferred]  Dead Weight  (22 combos covered)
x  4  [preferred]  Ded Gramarye IV  (22 combos covered)
x  4  [preferred]  Frontier's Cry  (22 combos covered)
x  4  [preferred]  Last Rite  (22 combos covered)
x  4  [preferred]  MIDA Mini-Tool  (22 combos covered)
x  4  [preferred]  No Reprieve  (22 combos covered)
x  4  [preferred]  Nox Perennial V  (22 combos covered)
x  4  [preferred]  PLUG ONE.1  (22 combos covered)
x  4  [preferred]  Point of the Stag  (22 combos covered)
x  4  [preferred]  Reckless Endangerment  (22 combos covered)
x  4  [preferred]  Retraced Path  (22 combos covered)
x  4  [preferred]  Something Something  (22 combos covered)
x  4  [preferred]  The Palindrome  (22 combos covered)
x  4  [preferred]  A Good Shout  (21 combos covered)
x  4  [preferred]  Allied Demand  (21 combos covered)
x  4  [preferred]  Everburning Glitz  (21 combos covered)
x  4  [preferred]  Eye of Sol  (21 combos covered)
x  4  [preferred]  Forced Memorializer  (21 combos covered)
x  4  [preferred]  Gnawing Hunger  (21 combos covered)
x  4  [preferred]  Indebted Kindness  (21 combos covered)
x  4  [preferred]  Jurisprudent  (21 combos covered)
x  4  [preferred]  Kept Confidence  (21 combos covered)
x  4  [preferred]  Malediction  (21 combos covered)
x  4  [preferred]  Nasreddin  (21 combos covered)
x  4  [preferred]  Permafrost  (21 combos covered)
x  4  [preferred]  Returned Memory  (21 combos covered)
x  4  [preferred]  Rufus's Fury (Adept)  (21 combos covered)
x  4  [preferred]  Sublimation  (21 combos covered)
x  4  [preferred]  The Riposte  (21 combos covered)
x  4  [preferred]  Empty Vessel  (20 combos covered)
x  4  [preferred]  Exalted Truth  (20 combos covered)
x  4  [preferred]  Forgiveness  (20 combos covered)
x  4  [preferred]  Jorum's Claw  (20 combos covered)
x  4  [preferred]  Last Foray  (20 combos covered)
x  4  [preferred]  Micromort  (20 combos covered)
x  4  [preferred]  Reed's Regret  (20 combos covered)
x  4  [preferred]  Sarpedon-D  (20 combos covered)
x  4  [preferred]  The Ringing Nail  (20 combos covered)
x  4  [preferred]  The Summoner  (20 combos covered)
x  4  [preferred]  Ulterior Observation  (20 combos covered)
x  4  [preferred]  Veles-X  (20 combos covered)
x  4  [preferred]  Ahab Char  (19 combos covered)
x  4  [preferred]  Belisarius-D  (19 combos covered)
x  4  [preferred]  Felwinter's Lie  (19 combos covered)
x  4  [preferred]  Pardon Our Dust  (19 combos covered)
x  4  [preferred]  Rake Angle  (19 combos covered)
x  4  [preferred]  The Immortal  (19 combos covered)
x  4  [preferred]  The Inquisitor  (19 combos covered)
x  4  [preferred]  The Messenger  (19 combos covered)
x  4  [preferred]  Archon's Thunder  (18 combos covered)
x  4  [preferred]  Aurvandil FR6  (18 combos covered)
x  4  [preferred]  Keen Thistle  (18 combos covered)
x  4  [preferred]  Oxygen SR3  (18 combos covered)
x  4  [preferred]  Phoneutria Fera  (18 combos covered)
x  4  [preferred]  Rapacious Appetite  (18 combos covered)
x  4  [preferred]  Seraphine Haze  (18 combos covered)
x  4  [preferred]  Solemn Remembrance  (18 combos covered)
x  4  [preferred]  Something New  (18 combos covered)
x  4  [preferred]  Steelfeather Repeater  (18 combos covered)
x  4  [preferred]  Timeworn Wayfarer  (18 combos covered)
x  4  [preferred]  Boomslang-4fr  (17 combos covered)
x  4  [preferred]  Convened Recurve  (17 combos covered)
x  4  [preferred]  Different Times  (17 combos covered)
x  4  [preferred]  Division (Adept)  (17 combos covered)
x  4  [preferred]  Psi Aeterna IV  (17 combos covered)
x  4  [preferred]  Sorrow's Verse  (17 combos covered)
x  4  [preferred]  Nox Sidereal IV  (16 combos covered)
x  4  [preferred]  Tarnished Mettle  (16 combos covered)
x  4  [preferred]  Aberrant Action  (15 combos covered)
x  4  [preferred]  Aisha's Care  (15 combos covered)
x  4  [preferred]  Eighty-Six  (14 combos covered)
x  4  [fallback ]  Annual Skate  (4 combos covered)
x  4  [fallback ]  Austringer  (4 combos covered)
x  4  [fallback ]  Berenger's Memory  (4 combos covered)
x  4  [fallback ]  Brya's Love  (4 combos covered)
x  4  [fallback ]  Bump in the Night  (4 combos covered)
x  4  [fallback ]  Cantata-57  (4 combos covered)
x  4  [fallback ]  Dark Decider  (4 combos covered)
x  4  [fallback ]  Deafening Whisper  (4 combos covered)
x  4  [fallback ]  Death's Razor  (4 combos covered)
x  4  [fallback ]  Exuviae  (4 combos covered)
x  4  [fallback ]  Farewell  (4 combos covered)
x  4  [fallback ]  Friction Fire  (4 combos covered)
x  4  [fallback ]  Goldtusk  (4 combos covered)
x  4  [fallback ]  Hand in Hand  (4 combos covered)
x  4  [fallback ]  Harsh Language  (4 combos covered)
x  4  [fallback ]  Hollow Words  (4 combos covered)
x  4  [fallback ]  Honor's Edge  (4 combos covered)
x  4  [fallback ]  IKELOS_SG_v1.0.3  (4 combos covered)
x  4  [fallback ]  IKELOS_SR_v1.0.3  (4 combos covered)
x  4  [fallback ]  Iota Draconis  (4 combos covered)
x  4  [fallback ]  Martyr's Retribution  (4 combos covered)
x  4  [fallback ]  Royal Chase  (4 combos covered)
x  4  [fallback ]  Shattered Cipher  (4 combos covered)
x  4  [fallback ]  Sojourner's Tale  (4 combos covered)
x  4  [fallback ]  Subjunctive  (4 combos covered)
x  4  [fallback ]  Tarantula  (4 combos covered)
x  3  [preferred]  Live Fire  (24 combos covered)
x  3  [preferred]  Precipial  (23 combos covered)
x  3  [preferred]  Whatchamacallit  (23 combos covered)
x  3  [preferred]  Forbearance (Adept)  (22 combos covered)
x  3  [preferred]  Hammerhead  (22 combos covered)
x  3  [preferred]  Auric Disabler  (21 combos covered)
x  3  [preferred]  Fair Judgment  (21 combos covered)
x  3  [preferred]  Qua Vinctus IV  (21 combos covered)
x  3  [preferred]  The Time-Worn Spire  (21 combos covered)
x  3  [preferred]  Faustus Decline  (20 combos covered)
x  3  [preferred]  Giver's Blessing  (20 combos covered)
x  3  [preferred]  Horror Story  (20 combos covered)
x  3  [preferred]  Last Thursday  (20 combos covered)
x  3  [preferred]  Punching Out  (20 combos covered)
x  3  [preferred]  Theodolite  (20 combos covered)
x  3  [preferred]  Drang  (19 combos covered)
x  3  [preferred]  Inbound Surveillance  (19 combos covered)
x  3  [preferred]  Last Man Standing  (19 combos covered)
x  3  [preferred]  Mindbender's Ambition  (19 combos covered)
x  3  [preferred]  Mistral Lift  (19 combos covered)
x  3  [preferred]  Motif-41  (19 combos covered)
x  3  [preferred]  Palmyra-B  (19 combos covered)
x  3  [preferred]  Sixth Sense  (19 combos covered)
x  3  [preferred]  Spoiler Alert  (19 combos covered)
x  3  [preferred]  The Forward Path  (19 combos covered)
x  3  [preferred]  Trendsetter  (19 combos covered)
x  3  [preferred]  Uzume RR4  (19 combos covered)
x  3  [preferred]  Word of Crota (Adept)  (19 combos covered)
x  3  [preferred]  Yeartide Apex  (19 combos covered)
x  3  [preferred]  Aisha's Embrace  (18 combos covered)
x  3  [preferred]  Arcane Embrace  (18 combos covered)
x  3  [preferred]  Astral Horizon  (18 combos covered)
x  3  [preferred]  Aurora Dawn  (18 combos covered)
x  3  [preferred]  Crowning Duologue  (18 combos covered)
x  3  [preferred]  Deadlock  (18 combos covered)
x  3  [preferred]  Glissando-47  (18 combos covered)
x  3  [preferred]  Kindled Orchid  (18 combos covered)
x  3  [preferred]  Maahes HC4  (18 combos covered)
x  3  [preferred]  Riiswalker  (18 combos covered)
x  3  [preferred]  The Keening  (18 combos covered)
x  3  [preferred]  Aureus Neutralizer  (17 combos covered)
x  3  [preferred]  Blast Furnace  (17 combos covered)
x  3  [preferred]  Bug-Out Bag  (17 combos covered)
x  3  [preferred]  Folded Root  (17 combos covered)
x  3  [preferred]  Gunnora's Axe  (17 combos covered)
x  3  [preferred]  Lotus-Eater  (17 combos covered)
x  3  [preferred]  Mint Retrograde  (17 combos covered)
x  3  [preferred]  Null Composure  (17 combos covered)
x  3  [preferred]  Occluded Finality  (17 combos covered)
x  3  [preferred]  Pre Astyanax IV  (17 combos covered)
x  3  [preferred]  Roar of the Bear  (17 combos covered)
x  3  [preferred]  Romantic Death  (17 combos covered)
x  3  [preferred]  Shadow Price  (17 combos covered)
x  3  [preferred]  The Hero's Burden  (17 combos covered)
x  3  [preferred]  The Mountaintop  (17 combos covered)
x  3  [preferred]  Tusk of the Boar  (17 combos covered)
x  3  [preferred]  VS Chill Inhibitor  (17 combos covered)
x  3  [preferred]  Wastelander M5  (17 combos covered)
x  3  [preferred]  Adored  (16 combos covered)
x  3  [preferred]  Duty Bound  (16 combos covered)
x  3  [preferred]  Infinite Paths 8  (16 combos covered)
x  3  [preferred]  Main Ingredient  (16 combos covered)
x  3  [preferred]  Multimach CCX  (16 combos covered)
x  3  [preferred]  Ogma PR6  (16 combos covered)
x  3  [preferred]  Perfect Pitch  (16 combos covered)
x  3  [preferred]  Pure Recollection  (16 combos covered)
x  3  [preferred]  Sole Survivor  (16 combos covered)
x  3  [preferred]  The Other Half  (16 combos covered)
x  3  [preferred]  Cold Denial  (15 combos covered)
