Loot,Tiered?,Loot Type,Element,Acquisition Method,Craftable?,Last Updated,Notes
Ill Omen,Yes,Sword,Stasis,Purchase,Yes,Echoes,Tier Upgrade After Crafting
Shepherd's Watch,No,Sniper Rifle,Kinetic,Purchase,No,Lost,
Veiled Threat,Yes,Auto Rifle,Stasis,Purchase,Yes,Echoes,Tier Upgrade After Crafting
Arsenic Bite-4b,No,Combat Bow,Arc,Purchase,No,Forsaken,
Adamantite (Adept),No,Auto Rifle,Strand,Purchase,No,Heresy,
Division,No,Sidearm,Arc,Purchase,No,Heresy,
Division (Adept),No,Sidearm,Arc,Purchase,No,Heresy,
No Reprieve,Yes,Shotgun,Stasis,Purchase,Yes,Plunder,Tier Upgrade After Crafting
Noxious Vetiver,No,Submachine Gun,Arc,Purchase,No,Revenant,
Semiotician,Yes,Rocket Sidearm,Strand,Purchase,Yes,Witch,Tier Upgrade After Crafting
Aberrant Action,Yes,Rocket Sidearm,Solar,Purchase,Yes,Echoes,Tier Upgrade After Crafting
Kept Confidence,Yes,Hand Cannon,Strand,Purchase,Yes,Witch,Tier Upgrade After Crafting
Hoosegow,No,Rocket Launcher,Arc,Purchase,No,Arrivals,
Timeworn Wayfarer,Yes,Scout Rifle,Solar,Purchase,Yes,Echoes,
Hollow Words,No,Fusion Rifle,Arc,Purchase,No,Heresy,
Different Times,Yes,Pulse Rifle,Strand,Purchase,Yes,Deep,Tier Upgrade After Crafting
Deadpan Delivery,No,Shotgun,Arc,Purchase,No,Witch,
Sojourner's Tale,No,Shotgun,Solar,Purchase,No,Revenant,
Sightline Survey,Yes,Hand Cannon,Arc,Purchase,Yes,Echoes,
Legal Action II,No,Pulse Rifle,Kinetic,Purchase,No,Lost,
Martyr's Retribution,No,Special Grenade Launcher,Solar,Purchase,No,Echoes,
Anamnesis (Adept),No,Combat Bow,Void,Purchase,No,Heresy,
Locus Locutus,Yes,Sniper Rifle,Stasis,Purchase,Yes,Witch,Tier Upgrade After Crafting
Wolftone Draw,No,Combat Bow,Arc,Purchase,No,Lost,
Line in the Sand,No,Linear Fusion Rifle,Arc,Purchase,No,Echoes,
Friction Fire,No,Submachine Gun,Kinetic,Purchase,No,Hunt,
The Number,No,Auto Rifle,Arc,Purchase,No,Splicer,
Outlast,No,Pulse Rifle,Solar,Purchase,No,Deep,
Just in Case,No,Sword,Solar,Purchase,No,Deep,
Mirror Imago,No,Submachine Gun,Strand,Purchase,No,Heresy,
Honor's Edge,No,Sword,Arc,Purchase,No,Worthy,
Faith-Keeper,No,Rocket Launcher,Void,Purchase,Yes,Echoes,
Quickfang,No,Sword,Void,Purchase,No,Splicer,
Chronophage,No,Trace Rifle,Void,Purchase,Yes,Echoes,
Exuviae,No,Hand Cannon,Stasis,Purchase,No,Revenant,
Interference VI,No,Heavy Grenade Launcher,Arc,Purchase,No,Worthy,
Imperial Needle,No,Linear Fusion Rifle,Void,Purchase,No,Chosen,
Snorri FR5,No,Fusion Rifle,Void,Purchase,No,Witch Queen,
Typhon GL5,No,Heavy Grenade Launcher,Stasis,Purchase,No,Witch Queen,
Gallu RR3,No,Sniper Rifle,Arc,Purchase,No,Haunted,
Ammit AR2,No,Auto Rifle,Solar,Purchase,Yes,Plunder,
Senuna SI6,No,Sidearm,Stasis,Purchase,No,Defiance,
Yarovit MG4,No,Submachine Gun,Stasis,Purchase,No,Echoes,
Cruoris FR4,No,Fusion Rifle,Arc,Purchase,No,Heresy,
Harsh Language,No,Special Grenade Launcher,Void,Purchase,No,Defiance,
Battle Scar,No,Pulse Rifle,Kinetic,Purchase,No,Defiance,
Hand in Hand,No,Shotgun,Arc,Purchase,No,Defiance,
Nasreddin,No,Sword,Arc,Purchase,No,Defiance,
Old Sterling,No,Auto Rifle,Strand,Purchase,No,Deep,
Combined Action,No,Hand Cannon,Arc,Purchase,No,Deep,
Last Foray,No,Sniper Rifle,Solar,Purchase,No,Deep,
Parabellum,No,Submachine Gun,Solar,Purchase,No,Wish,
Controlling Vision,No,Sidearm,Kinetic,Purchase,No,Echoes,
Truthteller,No,Special Grenade Launcher,Void,Purchase,No,Echoes,
Memory Interdict,No,Heavy Grenade Launcher,Void,Purchase,No,Splicer,
Distant Tumulus,No,Sniper Rifle,Solar,Purchase,No,Worthy,
Sailspy Pitchglass,No,Linear Fusion Rifle,Arc,Purchase,No,Plunder,
Dire Promise,No,Hand Cannon,Kinetic,Purchase,No,Worthy,
Breachlight,No,Sidearm,Kinetic,Purchase,No,Echoes,
First in First Out,No,Shotgun,Arc,Purchase,No,Arrivals,
Corrasion,No,Pulse Rifle,Arc,Purchase,Yes,Echoes,
Lost Signal,No,Special Grenade Launcher,Stasis,Purchase,Yes,Echoes,
Targeted Redaction,No,Hand Cannon,Void,Purchase,No,Deep,
Jian 7,No,Pulse Rifle,Arc,Purchase,No,Worthy,
Enigma's Draw,No,Sidearm,Kinetic,Purchase,No,Worthy,
Escape Velocity,No,Submachine Gun,Kinetic,Purchase,No,Worthy,
Nature of the Beast,No,Hand Cannon,Arc,Purchase,No,Arrivals,
Berenger's Memory,No,Heavy Grenade Launcher,Void,Purchase,No,Arrivals,
Corsair's Wrath,No,Linear Fusion Rifle,Solar,Purchase,No,Hunt,
Deafening Whisper,No,Special Grenade Launcher,Void,Purchase,No,Hunt,
Royal Chase,No,Scout Rifle,Void,Purchase,No,Hunt,
Code Duello,No,Rocket Launcher,Solar,Purchase,No,Chosen,
Tarantula,No,Linear Fusion Rifle,Arc,Purchase,No,Chosen,
Shattered Cipher,No,Machine Gun,Void,Purchase,No,Splicer,
Ignition Code,No,Special Grenade Launcher,Kinetic,Purchase,No,Splicer,
Farewell,No,Sidearm,Kinetic,Purchase,No,Splicer,
The Vision,No,Sidearm,Arc,Purchase,No,Splicer,
Eternity's Edge,No,Sword,Solar,Purchase,No,Splicer,
Crown-Splitter,No,Sword,Void,Purchase,No,Splicer,
Pleiades Corrector,No,Scout Rifle,Solar,Purchase,No,Splicer,
Stochastic Variable,No,Submachine Gun,Arc,Purchase,No,Splicer,
Annual Skate,No,Hand Cannon,Solar,Purchase,No,Lost,
Contingency Plan,No,Scout Rifle,Arc,Purchase,No,Lost,
Planck's Stride,No,Machine Gun,Arc,Purchase,No,Plunder,
Brigand's Law,No,Sidearm,Arc,Purchase,No,Plunder,
The Eremite,No,Fusion Rifle,Solar,Purchase,Yes,Witch,
Persuader,No,Sniper Rifle,Void,Purchase,No,Witch,
Whispering Slab,No,Combat Bow,Kinetic,Purchase,No,Arrivals,
Vantage Point,No,Pulse Rifle,Arc,Purchase,No,Revenant,
Bushido Armor,Yes,Armor,Armor,Purchase,No,Edge of Fate,
Swordmaster Armor,Yes,Armor,Armor,Purchase,No,Renegades,
,Banshee-44 | Gunsmith,,,,,,
Rose,No,Hand Cannon,Kinetic,One Time Pickup,No,Wish,
Multimach CCX,No,Submachine Gun,Kinetic,One Time Pickup,No,Seraph,
Compass Rose,No,Shotgun,Solar,One Time Pickup,No,Deep,
The Hothead,No,Rocket Launcher,Arc,One Time Pickup,No,Lost,
Indebted Kindness,No,Rocket Sidearm,Arc,One Time Pickup,No,Wish,
VS Chill Inhibitor,No,Heavy Grenade Launcher,Stasis,One Time Pickup,No,Revenant,
Steel Feather Repeater,Yes,Auto Rifle,Kinetic,Actively Dropped Gear,No,Echoes,
Chroma Rush,Yes,Auto Rifle,Kinetic,Actively Dropped Gear,No,Splicer,
Nox Perennial V,No,Fusion Rifle,Strand,Actively Dropped Gear,No,Witch,
Liturgy,Yes,Special Grenade Launcher,Stasis,Actively Dropped Gear,No,Revenant,
Infinite Paths 8,Yes,Pulse Rifle,Arc,Actively Dropped Gear,No,MoT,
Gridskipper,Yes,Pulse Rifle,Void,Actively Dropped Gear,No,Splicer,
Red Tape,Yes,Scout Rifle,Stasis,Actively Dropped Gear,No,Revenant,
Perfect Paradox,Yes,Shotgun,Kinetic,Actively Dropped Gear,No,Echoes,
Heliocentric QSC,Yes,Sidearm,Solar,Actively Dropped Gear,No,Witch,
Brass Attacks,Yes,Sidearm,Void,Actively Dropped Gear,No,Chosen,
Death Adder,Yes,Submachine Gun,Solar,Actively Dropped Gear,No,MoT,
Temptation's Hook,Yes,Sword,Arc,Actively Dropped Gear,No,MoT,
Trendsetter,Yes,Auto Rifle,Arc,Actively Dropped Gear,No,MoT,
Inbound Surveillance,Yes,Scout Rifle,Kinetic,Actively Dropped Gear,No,MoT,
Patron of Lost Causes,Yes,Scout Rifle,Kinetic,Reward Engram/Purchase,No,Echoes,
Watchful Eye,Yes,Machine Gun,Arc,Reward Engram/Purchase,No,Heresy,
Cold Denial,Yes,Pulse Rifle,Kinetic,Reward Engram/Purchase,No,Arrivals,
Aurvandil FR6,Yes,Fusion Rifle,Stasis,Vendor Exclusive Gear,No,MoT,
Maahes HC4,Yes,Hand Cannon,Void,Vendor Exclusive Gear,No,MoT,
Watchful Eye,Yes,Machine Gun,Arc,Vendor Exclusive Gear,No,MoT,
Cold Denial,Yes,Pulse Rifle,Kinetic,Vendor Exclusive Gear,No,MoT,
Ogma PR6,Yes,Pulse Rifle,Solar,Vendor Exclusive Gear,No,MoT,
Patron of Lost Causes,Yes,Scout Rifle,Kinetic,Vendor Exclusive Gear,No,MoT,
Live Fire,Yes,Scout Rifle,Stasis,Vendor Exclusive Gear,No,MoT,
Glissando-47,Yes,Scout Rifle,Strand,Vendor Exclusive Gear,No,MoT,
Admetus-D,Yes,Scout Rifle,Solar,Vendor Exclusive Gear,No,MoT,
Ded Gramarye IV,Yes,Shotgun,Arc,Vendor Exclusive Gear,No,MoT,
Insurmountable,Yes,Sidearm,Void,Vendor Exclusive Gear,No,MoT,
Abyssal Edge,Yes,Sword,Strand,Vendor Exclusive Gear,No,MoT,
Monody-44,Yes,Fusion Rifle,Void,Vendor Exclusive Gear,No,Revenant,
Motif-41,Yes,Special Grenade Launcher,Solar,Vendor Exclusive Gear,No,Revenant,
Hawthorne's Field-Forged Shotgun,Yes,Shotgun,Stasis,Vendor Exclusive Gear,No,Revenant,
Eighty-Six,Yes,Sword,Strand,Vendor Exclusive Gear,No,Revenant,
Drang,Yes,Sidearm,Solar,Vendor Exclusive Gear,No,Edge of Fate,
Mida Mini-Tool,Yes,Submachine Gun,Solar,Vendor Exclusive Gear,No,Edge of Fate,
Haliaetus,Yes,Rocket Launcher,Strand,Reward Engram/Purchase,No,Edge of Fate,
Ahab Char,Yes,Auto Rifle,Solar,Reward Engram/Purchase,No,Edge of Fate,
Jurisprudent,Yes,Scout Rifle,Stasis,Reward Engram/Purchase,No,Edge of Fate,
Faustus Decline,Yes,Rocket Sidearm,Stasis,Reward Engram/Purchase,No,Edge of Fate,
Shoreline Dissident,Yes,Sniper Rifle,Void,Reward Engram/Purchase,No,Edge of Fate,
Psi Hermetic V,No,Pulse Rifle,Stasis,Legacy Focused Decoding,No,Witch,
Ros Arago IV,No,Auto Rifle,Void,Legacy Focused Decoding,No,Wish,
Crux Termination IV,No,Rocket Launcher,Arc,Legacy Focused Decoding,No,Wish,
Neoptolemus II,No,Combat Bow,Kinetic,Legacy Focused Decoding,No,Revenant,
Qua Furor V,No,Machine Gun,Stasis,Legacy Focused Decoding,No,Heresy,
Geodetic HSM,No,Sword,Void,Legacy Focused Decoding,No,Witch,
The Domino,No,Sniper Rifle,Solar,Legacy Focused Decoding,No,Echoes,
Boondoggle Mk. 55,No,Submachine Gun,Kinetic,Legacy Focused Decoding,No,Heresy,
Cantata-57,No,Hand Cannon,Arc,Legacy Focused Decoding,No,Witch Queen,
Syncopation-53,Yes,Pulse Rifle,Stasis,Legacy Focused Decoding,Yes,Witch Queen,Tier Upgrade After Crafting
Fugue-55,No,Sniper Rifle,Void,Legacy Focused Decoding,No,Witch Queen,
Staccato-46,No,Scout Rifle,Solar,Legacy Focused Decoding,No,Haunted,
Pizzicato-22,No,Submachine Gun,Kinetic,Legacy Focused Decoding,No,Plunder,
Fioritura-59,No,Sidearm,Void,Legacy Focused Decoding,No,Seraph,
Coronach-22,No,Auto Rifle,Solar,Legacy Focused Decoding,No,Defiance,
Marcato-45,No,Machine Gun,Strand,Legacy Focused Decoding,No,Wish,
Adverse Possession IX,No,Scout Rifle,Arc,Legacy Focused Decoding,No,Echoes,
Legato-11,No,Shotgun,Solar,Legacy Focused Decoding,No,Revenant,
Palmyra-B,Yes,Rocket Launcher,Stasis,Legacy Focused Decoding,Yes,Witch Queen,Tier Upgrade After Crafting
Perses-D,No,Scout Rifle,Stasis,Legacy Focused Decoding,No,Witch Queen,
Ragnhild-D,Yes,Shotgun,Kinetic,Legacy Focused Decoding,Yes,Witch Queen,Tier Upgrade After Crafting
Enyo-D,No,Submachine Gun,Kinetic,Legacy Focused Decoding,No,Haunted,
Boudica-C,No,Sidearm,Kinetic,Legacy Focused Decoding,No,Plunder,
Lodbrok-C,No,Auto Rifle,Kinetic,Legacy Focused Decoding,No,Seraph,
Marsilion-C,No,Heavy Grenade Launcher,Solar,Legacy Focused Decoding,No,Defiance,
Veleda-F,No,Sniper Rifle,Void,Legacy Focused Decoding,No,Revenant,
Admetus-D,No,Scout Rifle,Solar,Legacy Focused Decoding,No,Heresy,
Krait,No,Auto Rifle,Stasis,Legacy Focused Decoding,No,Witch Queen,
Redback-5SI,No,Sidearm,Solar,Legacy Focused Decoding,No,Witch Queen,
Funnelweb,No,Submachine Gun,Void,Legacy Focused Decoding,No,Witch Queen,
Lunulata-4B,No,Combat Bow,Stasis,Legacy Focused Decoding,No,Haunted,
Taipan-4fr,Yes,Linear Fusion Rifle,Void,Legacy Focused Decoding,Yes,Plunder,Tier Upgrade After Crafting
Jararaca-3SR,No,Scout Rifle,Stasis,Legacy Focused Decoding,No,Seraph,
Irukandji,No,Sniper Rifle,Stasis,Legacy Focused Decoding,No,Defiance,
Suspectum-4FR,No,Linear Fusion Rifle,Stasis,Legacy Focused Decoding,No,Echoes,
Snorri FR5,No,Fusion Rifle,Void,Legacy Focused Decoding,No,Witch Queen,
Typhon GL5,No,Heavy Grenade Launcher,Stasis,Legacy Focused Decoding,No,Witch Queen,
Gallu RR3,No,Sniper Rifle,Arc,Legacy Focused Decoding,No,Haunted,
Ammit AR2,Yes,Auto Rifle,Solar,Legacy Focused Decoding,Yes,Witch Queen,Tier Upgrade After Crafting
Senuna SI6,No,Sidearm,Stasis,Legacy Focused Decoding,No,Defiance,
Yarovit MG4,No,Submachine Gun,Stasis,Legacy Focused Decoding,No,Echoes,
Cruoris FR4,No,Fusion Rifle,Arc,Legacy Focused Decoding,No,Heresy,
Harsh Language,No,Special Grenade Launcher,Void,Legacy Focused Decoding,No,Defiance,
Battle Scar,No,Pulse Rifle,Kinetic,Legacy Focused Decoding,No,Defiance,
Hand in Hand,No,Shotgun,Arc,Legacy Focused Decoding,No,Defiance,
Nasreddin,Yes,Sword,Arc,Legacy Focused Decoding,No,Defiance,
Old Sterling,No,Auto Rifle,Strand,Legacy Focused Decoding,No,Deep,
Combined Action,No,Hand Cannon,Arc,Legacy Focused Decoding,No,Deep,
Last Foray,Yes,Sniper Rifle,Solar,Legacy Focused Decoding,No,Deep,
Parabellum,Yes,Submachine Gun,Solar,Legacy Focused Decoding,No,Wish,
Controlling Vision,No,Sidearm,Kinetic,Legacy Focused Decoding,No,Echoes,
Truthteller,No,Special Grenade Launcher,Void,Legacy Focused Decoding,No,Echoes,
,Saint-14,,,,,,
Willful Hamartia,Yes,Linear Fusion Rifle,Arc,Actively Dropped,No,MoT,
The Messenger,Yes,Pulse Rifle,Kinetic,Actively Dropped,No,MoT,
The Summoner,Yes,Auto Rifle,Solar,Actively Dropped,No,MoT,
The Scholar,Yes,Scout Rifle,Strand,Actively Dropped,No,MoT,
Sola's Scar,Yes,Sword,Solar,Actively Dropped,No,MoT,
Aisha's Care,Yes,Pulse Rifle,Strand,Actively Dropped,No,MoT,
Exalted Truth,Yes,Hand Cannon,Void,Actively Dropped,No,MoT,
Keen Thistle,Yes,Sniper Rifle,Solar,Actively Dropped,No,MoT,
The Inquisitor,Yes,Shotgun,Arc,Actively Dropped,No,MoT,
Igneous Hammer,Yes,Hand Cannon,Solar,Actively Dropped,No,MoT,
Shayura's Wrath,Yes,Submachine Gun,Void,Actively Dropped,No,MoT,
Eye of Sol,Yes,Sniper Rifle,Kinetic,Actively Dropped,No,MoT,
Exile's Curse,Yes,Fusion Rifle,Solar,Actively Dropped,No,MoT,
Tomorrow's Answer,Yes,Rocket Launcher,Void,Actively Dropped,No,MoT,
Reed's Regret,Yes,Linear Fusion Rifle,Stasis,Vendor Exclusive,No,MoT,
Yesterday's Question,Yes,Rocket Launcher,Void,Vendor Exclusive,No,MoT,
The Martlet,Yes,Pulse Rifle,Void,Vendor Exclusive,No,Renegades,
Corundum Hammer,Yes,Hand Cannon,Strand,Vendor Exclusive,No,Renegades,
The Immortal,Yes,Submachine Gun,Strand,Vendor Exclusive,No,Renegades,
Cataphract GL3,Yes,Heavy Grenade Launcher,Strand,Vendor Exclusive,No,Renegades,
Astral Horizon,Yes,Shotgun,Kinetic,Vendor Exclusive,No,Renegades,
Everburning Glitz,Yes,Auto Rifle,Kinetic,Vendor Exclusive,No,Edge of Fate,
Burden of Guilt,Yes,Fusion Rifle,Stasis,Vendor Exclusive,No,Edge of Fate,
Aureus Neutralizer,Yes,Hand Cannon,Kinetic,Vendor Exclusive,No,Edge of Fate,
Auric Disabler,Yes,Auto Rifle,Strand,Vendor Exclusive,No,Edge of Fate,
Aisha's Embrace,Yes,Scout Rifle,Void,Vendor Exclusive,No,Edge of Fate,
Unwavering Duty,Yes,Machine Gun,Solar,Vendor Exclusive,No,Edge of Fate,
Forgiveness,Yes,Sidearm,Arc,Vendor Exclusive,No,Edge of Fate,
Cruel Electrum,Yes,Armor,Armor,Focus,No,MoT,
New Demotic,Yes,Armor,Armor,Focus,No,Renegades,
Twofold Crown Armor,Yes,Armor,Armor,Focus,No,Edge of Fate,
Jackal-Heart Armor,No,Armor,Armor,Purchase,No,Heresy,
Fursed Aurum Armor,No,Armor,Armor,Purchase,No,Witch,
Atavistic Idol Armor,No,Armor,Armor,Purchase,No,Haunted,
Phyrric Ascent Armor,No,Armor,Armor,Purchase,No,Chosen,
Of the Exile Armor,No,Armor,Armor,Purchase,No,Arrivals,
,Valus Saladin,,,,,,
The Forward Path,Yes,Auto Rifle,Strand,Actively Dropped,No,MoT,
Lethal Abundance,Yes,Auto Rifle,Arc,Actively Dropped,No,MoT,
Point of the Stag,Yes,Combat Bow,Arc,Actively Dropped,No,MoT,
The Wizened Rebuke,Yes,Fusion Rifle,Arc,Actively Dropped,No,MoT,
Pressurized Precision,Yes,Fusion Rifle,Strand,Actively Dropped,No,MoT,
Crimil's Dagger,Yes,Hand Cannon,Kinetic,Actively Dropped,No,MoT,
The Time-Worn Spire,Yes,Pulse Rifle,Stasis,Actively Dropped,No,MoT,
Roar of the Bear,Yes,Rocket Launcher,Solar,Actively Dropped,No,MoT,
Felwinter's Lie,Yes,Shotgun,Solar,Actively Dropped,No,MoT,
Gunnora's Axe,Yes,Shotgun,Solar,Actively Dropped,No,MoT,
Occluded Finality,Yes,Sniper Rifle,Arc,Actively Dropped,No,MoT,
Multimach CCX,Yes,Submachine Gun,Kinetic,Actively Dropped,No,MoT,
Allied Demand,Yes,Rocket Sidearm,Kinetic,Vendor Exclusive,No,MoT,
Archon's Thunder,Yes,Machine Gun,Solar,Vendor Exclusive,No,MoT,
Bite of the Fox,Yes,Sniper Rifle,Kinetic,Vendor Exclusive,No,MoT,
Claws of the Wolf,Yes,Pulse Rifle,Void,Vendor Exclusive,No,MoT,
Finite Impactor,Yes,Hand Cannon,Solar,Vendor Exclusive,No,Edge of Fate,
Frontier's Cry,Yes,Hand Cannon,Solar,Vendor Exclusive,No,MoT,
Jorum's Claw,Yes,Pulse Rifle,Solar,Vendor Exclusive,No,MoT,
Peacebond,Yes,Rocket Sidearm,Stasis,Vendor Exclusive,No,MoT,
Reghusk's Pledge,Yes,Auto Rifle,Void,Vendor Exclusive,No,Renegades,
Riiswalker,Yes,Shotgun,Kinetic,Vendor Exclusive,No,MoT,
The Hero's Burden,Yes,Submachine Gun,Void,Vendor Exclusive,No,MoT,
Tinasha's Mastery,Yes,Rocket Sidearm,Arc,Vendor Exclusive,No,MoT,
Tusk of the Boar,Yes,Special Grenade Launcher,Strand,Vendor Exclusive,No,MoT,
Forge's Pledge,No,Pulse Rifle,Solar,Legacy Focused Decoding,No,Lost,
Razor's Edge,No,Sword,Void,Legacy Focused Decoding,No,Witch Queen,
Dark Decider,No,Auto Rifle,Arc,Legacy Focused Decoding,No,Defiance,
Swarm of the Raven,No,Heavy Grenade Launcher,Void,Legacy Focused Decoding,No,Deep,
The Guiding Sight,No,Scout Rifle,Strand,Legacy Focused Decoding,No,Echoes,
Warlord's Spear,No,Trace Rifle,Arc,Legacy Focused Decoding,No,Heresy,
Nature Reclaimed,No,Scout Rifle,Solar,Legacy Focused Decoding,No,Heresy,
Iron Battalion Armor,Yes,Armor,Armor,Actively Dropped,No,MoT,
Iron Panopoly Armor,Yes,Armor,Armor,Focused Decoding,No,Edge of Fate,
Iron Remembrance Armor,No,Armor,Armor,Legacy Focused Decoding,No,Forsaken,
Iron Fellowship Armor,No,Armor,Armor,Legacy Focused Decoding,No,Black Armory,
Iron Symmachy Armor,No,Armor,Armor,Legacy Focused Decoding,No,Drifter,
Iron Truage Armor,No,Armor,Armor,Legacy Focused Decoding,No,Opulence,
Iron Will Armor,No,Armor,Armor,Legacy Focused Decoding,No,Undying,
Iron Forerunner Armor,No,Armor,Armor,Legacy Focused Decoding,No,Lost,
Iron Companion Armor,No,Armor,Armor,Legacy Focused Decoding,No,Seraph,
Iron Intent Armor,No,Armor,Armor,Legacy Focused Decoding,No,Revenant,
,The Drifter,,,,,,
Gnawing Hunger,Yes,Auto Rifle,Void,Actively Dropped,No,MoT,
Hush,Yes,Combat Bow,Stasis,Actively Dropped,No,MoT,
21% Delierium,Yes,Machine Gun,Arc,Actively Dropped,No,MoT,
Bad Omens,Yes,Rocket Launcher,Void,Actively Dropped,No,MoT,
Trust,Yes,Hand Cannon,Solar,Actively Dropped,No,MoT,
Sole Survivor,Yes,Sniper Rifle,Arc,Actively Dropped,No,MoT,
Spare Rations,Yes,Hand Cannon,Kinetic,Actively Dropped,No,MoT,
Doomsday,Yes,Heavy Grenade Launcher,Arc,Actively Dropped,No,MoT,
Last Man Standing,Yes,Shotgun,Solar,Actively Dropped,No,MoT,
Bug-Out Bag,Yes,Submachine Gun,Void,Actively Dropped,No,MoT,
Bygones,Yes,Pulse Rifle,Kinetic,Actively Dropped,No,MoT,
Python,Yes,Shotgun,Void,Actively Dropped,No,MoT,
Nightwatch,Yes,Scout Rifle,Kinetic,Vendor Exclusive,No,MoT,
Bottom Dollar,Yes,Hand Cannon,Void,Vendor Exclusive,No,MoT,
Herod-C,Yes,Auto Rifle,Stasis,Vendor Exclusive,No,MoT,
Yesteryear,Yes,Pulse Rifle,Void,Vendor Exclusive,No,MoT,
Laser Painter,Yes,Linear Fusion Rifle,Strand,Vendor Exclusive,No,MoT,
Breakneck,Yes,Auto Rifle,Kinetic,Vendor Exclusive,No,MoT,
Lonesome,Yes,Sidearm,Kinetic,Vendor Exclusive,No,MoT,
Cyberserpent Null Armor,Yes,Armor,Armor,Actively Dropped,No,MoT,
Crowd Pleaser,No,Heavy Grenade Launcher,Void,Legacy Gear,No,Beyond Light,
Trinary System,No,Fusion Rifle,Solar,Legacy Gear,No,Chosen,
Borrowed Time,No,Submachine Gun,Solar,Legacy Gear,No,Splicer,
Servant Leader,No,Scout Rifle,Kinetic,Legacy Gear,No,Lost,
Dead Weight,No,Shotgun,Arc,Legacy Gear,No,Haunted,
Albruna-D,No,Sniper Rifle,Arc,Legacy Gear,No,Seraph,
Qua Xaphan V,No,Machine Gun,Void,Legacy Gear,No,Witch,
,Ada-1,,,,,,
Noble Constant Armor,No,Armor,Armor,Vendor Exclusive,No,Red War,
Retro-Grade TG2 Armor,No,Armor,Armor,Vendor Exclusive,No,Red War,
Devastation Complex,No,Armor,Armor,Vendor Exclusive,No,Red War,
Kerak Type Armor,No,Armor,Armor,Vendor Exclusive,No,Red War,
Mark of the Unassailable,No,Armor,Armor,Vendor Exclusive,No,Red War,
Mark of the Colliders,No,Armor,Armor,Vendor Exclusive,No,Red War,
Ere The End (Mark),No,Armor,Armor,Vendor Exclusive,No,Red War,
Torobotl Celebration Mask,No,Armor,Armor,Vendor Exclusive,No,Forsaken,
Scorned Baron Plate,No,Armor,Armor,Vendor Exclusive,No,Forsaken,
Memory of Cayde Mark,No,Armor,Armor,Vendor Exclusive,No,Forsaken,
Mimetic Savior Armor,No,Armor,Armor,Vendor Exclusive,No,Forsaken,
Prodigal Armor,No,Armor,Armor,Vendor Exclusive,No,Forsaken,
Insight Unyielding Armor,No,Armor,Armor,Vendor Exclusive,No,Arrivals,
Terra Concord Armor,No,Armor,Armor,Vendor Exclusive,No,Arrivals,
Wild Hunt Armor,No,Armor,Armor,Vendor Exclusive,No,Hunt,
Praefectus Armor,No,Armor,Armor,Vendor Exclusive,No,Chosen,
Lightkin Armor,No,Armor,Armor,Vendor Exclusive,No,Splicer,
Pathfinder's Armor,No,Armor,Armor,Vendor Exclusive,No,Lost,
Tusked Allegiance Armor,No,Armor,Armor,Vendor Exclusive,No,Chosen,
Eidolon Pursuant Armor,No,Armor,Armor,Vendor Exclusive,No,Haunted,
Ketchkiller's Armor,No,Armor,Armor,Vendor Exclusive,No,Plunder,
Warmind's Avatar,No,Armor,Armor,Vendor Exclusive,No,Seraph,
Techeun's Regalia Armor,No,Armor,Armor,Vendor Exclusive,No,Defiance,
"NPA ""Weir-Walker"" Armor",No,Armor,Armor,Vendor Exclusive,No,Deep,
