copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_vendor6,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,best_pos,gfs,sample_combos,hash
25,Doom of Chelchis (Harrowed),preferred,Scout Rifle,Void,0,1,0,1,0,"Adaptive Munitions, Demoralize, Destabilizing Rounds","Focused Fury, Meganeura, Withering Gaze",9,1,472,Adaptive Munitions+Focused Fury | Adaptive Munitions+Meganeura | Adaptive Munitions+Withering Gaze | Demoralize+Focused Fury | Demoralize+Meganeura | Demoralize+Withering Gaze | Destabilizing Rounds+Focused Fury | Destabilizing Rounds+Meganeura | Destabilizing Rounds+Withering Gaze,1184692845
26,Insidious (Adept),preferred,Pulse Rifle,Arc,0,1,0,1,0,"Compulsive Reloader, Frenzy, Rolling Storm","Adaptive Munitions, Adrenaline Junkie, Chaos Reshaped",8,1,614,Adaptive Munitions+Compulsive Reloader | Adaptive Munitions+Frenzy | Adaptive Munitions+Rolling Storm | Adrenaline Junkie+Frenzy | Adrenaline Junkie+Rolling Storm | Chaos Reshaped+Compulsive Reloader | Chaos Reshaped+Frenzy | Chaos Reshaped+Rolling Storm,786352912
27,Cataclysmic (Adept),preferred,Linear Fusion Rifle,Solar,0,1,0,1,0,"Dragonfly, Sleight of Hand, Successful Warm-Up","Adaptive Munitions, Aggregate Charge, Box Breathing",9,1,304,Adaptive Munitions+Dragonfly | Adaptive Munitions+Sleight of Hand | Adaptive Munitions+Successful Warm-Up | Aggregate Charge+Dragonfly | Aggregate Charge+Sleight of Hand | Aggregate Charge+Successful Warm-Up | Box Breathing+Dragonfly | Box Breathing+Sleight of Hand | Box Breathing+Successful Warm-Up,2886339027
28,Chain of Command,preferred,Machine Gun,Stasis,1,0,1,0,1,"Adrenaline Junkie, Turnabout, Under-Over","Adaptive Munitions, Desperate Measures, Killing Tally",9,1,228,Adaptive Munitions+Adrenaline Junkie | Adaptive Munitions+Turnabout | Adaptive Munitions+Under-Over | Adrenaline Junkie+Desperate Measures | Adrenaline Junkie+Killing Tally | Desperate Measures+Turnabout | Desperate Measures+Under-Over | Killing Tally+Turnabout | Killing Tally+Under-Over,1716620044
29,Smite of Merain (Harrowed),preferred,Pulse Rifle,Kinetic,0,1,0,1,0,"Demolitionist, Ensemble, Focused Fury","Adhesive Ordnance, All-Star, One for All",9,1,582,Adhesive Ordnance+Demolitionist | Adhesive Ordnance+Ensemble | Adhesive Ordnance+Focused Fury | All-Star+Demolitionist | All-Star+Ensemble | All-Star+Focused Fury | Demolitionist+One for All | Ensemble+One for All | Focused Fury+One for All,3407395594
30,Something Something,preferred,Sniper Rifle,Kinetic,1,0,1,0,1,"Discord, No Distractions, Snapshot Sights","Adhesive Ordnance, All-Star, Kinetic Tremors",7,1,138,Adhesive Ordnance+Discord | Adhesive Ordnance+No Distractions | Adhesive Ordnance+Snapshot Sights | All-Star+No Distractions | All-Star+Snapshot Sights | Kinetic Tremors+No Distractions | Kinetic Tremors+Snapshot Sights,3421075982
31,Last Rite,preferred,Scout Rifle,Kinetic,1,0,1,0,1,"Dual Loader, Hip-Fire Grip, Reconstruction","Adhesive Ordnance, Explosive Payload, Firefly",9,1,297,Adhesive Ordnance+Dual Loader | Adhesive Ordnance+Hip-Fire Grip | Adhesive Ordnance+Reconstruction | Dual Loader+Explosive Payload | Dual Loader+Firefly | Explosive Payload+Hip-Fire Grip | Explosive Payload+Reconstruction | Firefly+Hip-Fire Grip | Firefly+Reconstruction,3708636616
32,Inbound Surveillance,preferred,Scout Rifle,Kinetic,1,0,0,0,1,"Keep Away, Lucky Shot, Rapid Hit","Adhesive Ordnance, Frenzy, Redirection",9,1,241,Adhesive Ordnance+Keep Away | Adhesive Ordnance+Lucky Shot | Adhesive Ordnance+Rapid Hit | Frenzy+Keep Away | Frenzy+Lucky Shot | Frenzy+Rapid Hit | Keep Away+Redirection | Lucky Shot+Redirection | Rapid Hit+Redirection,2776506837
33,Smite of Merain (Harrowed),preferred,Pulse Rifle,Kinetic,0,1,0,1,0,"Ancillary Ordinance, Pugilist, Well-Rounded","Adhesive Ordnance, Adrenaline Junkie, All-Star",9,1,582,Adhesive Ordnance+Ancillary Ordinance | Adhesive Ordnance+Pugilist | Adhesive Ordnance+Well-Rounded | Adrenaline Junkie+Ancillary Ordinance | Adrenaline Junkie+Pugilist | Adrenaline Junkie+Well-Rounded | All-Star+Ancillary Ordinance | All-Star+Pugilist | All-Star+Well-Rounded,3407395594
34,Something Something,preferred,Sniper Rifle,Kinetic,1,0,1,0,1,"Bewildering Burst, Stopping Power, Triple Tap","Adhesive Ordnance, All-Star, Box Breathing",7,1,138,Adhesive Ordnance+Bewildering Burst | Adhesive Ordnance+Stopping Power | Adhesive Ordnance+Triple Tap | All-Star+Triple Tap | Bewildering Burst+Box Breathing | Box Breathing+Stopping Power | Box Breathing+Triple Tap,3421075982
35,Smite of Merain (Harrowed),preferred,Pulse Rifle,Kinetic,0,1,0,1,0,"Ancillary Ordinance, Bewildering Burst, Focused Fury","Adrenaline Junkie, Eye of the Storm, Firefly",7,1,582,Adrenaline Junkie+Bewildering Burst | Ancillary Ordinance+Eye of the Storm | Ancillary Ordinance+Firefly | Bewildering Burst+Eye of the Storm | Bewildering Burst+Firefly | Eye of the Storm+Focused Fury | Firefly+Focused Fury,3407395594
36,Nullify (Adept),preferred,Pulse Rifle,Solar,0,1,0,1,0,"Burning Ambition, Firefly, Fourth Time's the Charm","Adrenaline Junkie, Chaos Reshaped, Multikill Clip",9,1,525,Adrenaline Junkie+Burning Ambition | Adrenaline Junkie+Firefly | Adrenaline Junkie+Fourth Time's the Charm | Burning Ambition+Chaos Reshaped | Burning Ambition+Multikill Clip | Chaos Reshaped+Firefly | Chaos Reshaped+Fourth Time's the Charm | Firefly+Multikill Clip | Fourth Time's the Charm+Multikill Clip,892183998
37,Deliverance (Adept),preferred,Fusion Rifle,Stasis,0,1,0,1,0,"Compulsive Reloader, Cornered, Crystalline Corpsebloom","Adrenaline Junkie, Chain Reaction, Chill Clip",9,1,466,Adrenaline Junkie+Compulsive Reloader | Adrenaline Junkie+Cornered | Adrenaline Junkie+Crystalline Corpsebloom | Chain Reaction+Compulsive Reloader | Chain Reaction+Cornered | Chain Reaction+Crystalline Corpsebloom | Chill Clip+Compulsive Reloader | Chill Clip+Cornered | Chill Clip+Crystalline Corpsebloom,2943293195
38,Corrective Measure (Timelost),preferred,Machine Gun,Void,0,1,0,1,0,"Destabilizing Rounds, Dimensional Shift, Redirection","Adrenaline Junkie, Butterfly, Demoralize",9,1,367,Adrenaline Junkie+Destabilizing Rounds | Adrenaline Junkie+Dimensional Shift | Adrenaline Junkie+Redirection | Butterfly+Destabilizing Rounds | Butterfly+Dimensional Shift | Butterfly+Redirection | Demoralize+Destabilizing Rounds | Demoralize+Dimensional Shift | Demoralize+Redirection,2334480463
39,Horror Story,preferred,Auto Rifle,Stasis,1,0,0,0,1,"Dynamic Sway Reduction, Elemental Capacitor, Under-Over","Adrenaline Junkie, Headstone, Vorpal Weapon",6,1,468,Adrenaline Junkie+Dynamic Sway Reduction | Adrenaline Junkie+Elemental Capacitor | Adrenaline Junkie+Under-Over | Dynamic Sway Reduction+Vorpal Weapon | Elemental Capacitor+Headstone | Headstone+Under-Over,2884070594
40,Double-Edged Answer,preferred,Sword,Void,0,0,1,0,1,"En Garde, Energy Transfer, Pugilist","Adrenaline Junkie, Assassin's Blade, Attrition Orbs",8,1,1022,Adrenaline Junkie+En Garde | Adrenaline Junkie+Energy Transfer | Assassin's Blade+En Garde | Assassin's Blade+Energy Transfer | Assassin's Blade+Pugilist | Attrition Orbs+En Garde | Attrition Orbs+Energy Transfer | Attrition Orbs+Pugilist,105164264
41,Oversoul Edict (Adept),preferred,Pulse Rifle,Arc,0,1,0,1,0,"Eddy Current, Encore, Eye of the Storm","Adrenaline Junkie, Gear Shift, Moving Target",9,1,489,Adrenaline Junkie+Eddy Current | Adrenaline Junkie+Encore | Adrenaline Junkie+Eye of the Storm | Eddy Current+Gear Shift | Eddy Current+Moving Target | Encore+Gear Shift | Encore+Moving Target | Eye of the Storm+Gear Shift | Eye of the Storm+Moving Target,578105049
42,Borrowed Time,preferred,Submachine Gun,Solar,0,0,1,0,1,"Firmly Planted, Overflow, Tunnel Vision","Adrenaline Junkie, Demolitionist, Dragonfly",7,1,1510,Adrenaline Junkie+Firmly Planted | Adrenaline Junkie+Tunnel Vision | Demolitionist+Firmly Planted | Demolitionist+Overflow | Demolitionist+Tunnel Vision | Dragonfly+Firmly Planted | Dragonfly+Overflow,875848769
43,Cry Mutiny,preferred,Grenade Launcher,Solar,1,0,1,0,1,"Blast Distributor, Danger Zone, Incandescent","Adrenaline Junkie, Mega Kill Clip, Swashbuckler",8,1,326,Adrenaline Junkie+Danger Zone | Adrenaline Junkie+Incandescent | Blast Distributor+Mega Kill Clip | Blast Distributor+Swashbuckler | Danger Zone+Mega Kill Clip | Danger Zone+Swashbuckler | Incandescent+Mega Kill Clip | Incandescent+Swashbuckler,768696858
44,Different Times,preferred,Pulse Rifle,Strand,1,0,0,1,1,"Heating Up, Invisible Hand, Stats for All","Adrenaline Junkie, Hatchling, Headseeker",8,1,693,Adrenaline Junkie+Heating Up | Adrenaline Junkie+Invisible Hand | Adrenaline Junkie+Stats for All | Hatchling+Heating Up | Hatchling+Invisible Hand | Headseeker+Heating Up | Headseeker+Invisible Hand | Headseeker+Stats for All,3016891299
45,Seraphine Haze,preferred,Submachine Gun,Stasis,1,0,1,0,1,"Demolitionist, Lead From Light, Rimestealer","Adrenaline Junkie, Attrition Orbs, Collective Pugilism",9,1,270,Adrenaline Junkie+Demolitionist | Adrenaline Junkie+Lead From Light | Adrenaline Junkie+Rimestealer | Attrition Orbs+Demolitionist | Attrition Orbs+Lead From Light | Attrition Orbs+Rimestealer | Collective Pugilism+Demolitionist | Collective Pugilism+Lead From Light | Collective Pugilism+Rimestealer,1524387902
46,Punching Out,preferred,Sidearm,Solar,1,0,1,0,1,"Heal Clip, Light Touch, Rangefinder","Adrenaline Junkie, Binary Orbit, Feeding Frenzy",9,1,386,Adrenaline Junkie+Heal Clip | Adrenaline Junkie+Light Touch | Adrenaline Junkie+Rangefinder | Binary Orbit+Heal Clip | Binary Orbit+Light Touch | Binary Orbit+Rangefinder | Feeding Frenzy+Heal Clip | Feeding Frenzy+Light Touch | Feeding Frenzy+Rangefinder,1469372193
47,Out of Bounds,preferred,Submachine Gun,Arc,1,0,1,0,1,"Demolitionist, Loose Change, Subsistence","Adrenaline Junkie, Jolting Feedback, Rangefinder",7,1,650,Adrenaline Junkie+Loose Change | Demolitionist+Jolting Feedback | Demolitionist+Rangefinder | Jolting Feedback+Loose Change | Jolting Feedback+Subsistence | Loose Change+Rangefinder | Rangefinder+Subsistence,3021407779
48,Strident Whistle,preferred,Combat Bow,Solar,0,0,1,0,1,"Moving Target, No Distractions, Sneak Bow","Adrenaline Junkie, Cornered, Explosive Head",9,1,1101,Adrenaline Junkie+Moving Target | Adrenaline Junkie+No Distractions | Adrenaline Junkie+Sneak Bow | Cornered+Moving Target | Cornered+No Distractions | Cornered+Sneak Bow | Explosive Head+Moving Target | Explosive Head+No Distractions | Explosive Head+Sneak Bow,2591241074
49,Chain of Command,preferred,Machine Gun,Stasis,1,0,1,0,1,"Adrenaline Junkie, Turnabout, Under-Over","Focused Fury, Meganeura, Target Lock",9,1,228,Adrenaline Junkie+Focused Fury | Adrenaline Junkie+Meganeura | Adrenaline Junkie+Target Lock | Focused Fury+Turnabout | Focused Fury+Under-Over | Meganeura+Turnabout | Meganeura+Under-Over | Target Lock+Turnabout | Target Lock+Under-Over,1716620044
50,Giver's Blessing,preferred,Auto Rifle,Kinetic,1,0,0,0,1,"Impromptu Ammunition, Moving Target, Transcendent Moment","Adrenaline Junkie, High Ground, Multikill Clip",8,1,351,Adrenaline Junkie+Impromptu Ammunition | Adrenaline Junkie+Transcendent Moment | High Ground+Impromptu Ammunition | High Ground+Moving Target | High Ground+Transcendent Moment | Impromptu Ammunition+Multikill Clip | Moving Target+Multikill Clip | Multikill Clip+Transcendent Moment,970034755
51,Psi Aeterna IV,preferred,Pulse Rifle,Arc,1,0,1,0,1,"Beacon Rounds, Blast Distributor, Trickle Charge","Adrenaline Junkie, Collective Pugilism, Jolting Feedback",9,1,190,Adrenaline Junkie+Beacon Rounds | Adrenaline Junkie+Blast Distributor | Adrenaline Junkie+Trickle Charge | Beacon Rounds+Collective Pugilism | Beacon Rounds+Jolting Feedback | Blast Distributor+Collective Pugilism | Blast Distributor+Jolting Feedback | Collective Pugilism+Trickle Charge | Jolting Feedback+Trickle Charge,3556730800
52,The Call,preferred,Sidearm,Strand,1,0,0,1,1,"Beacon Rounds, Lead from Gold, Strategist","Aggregate Charge, Chaos Reshaped, Hatchling",8,1,1088,Aggregate Charge+Beacon Rounds | Aggregate Charge+Lead from Gold | Aggregate Charge+Strategist | Beacon Rounds+Chaos Reshaped | Beacon Rounds+Hatchling | Chaos Reshaped+Lead from Gold | Hatchling+Lead from Gold | Hatchling+Strategist,3947966653
53,Found Verdict (Timelost),preferred,Shotgun,Arc,0,1,0,1,0,"Aggregate Charge, Barrel Constrictor, Supercharged Magazine","Binary Orbit, Desperate Measures, Elemental Honing",8,1,369,Aggregate Charge+Binary Orbit | Aggregate Charge+Desperate Measures | Aggregate Charge+Elemental Honing | Barrel Constrictor+Binary Orbit | Barrel Constrictor+Desperate Measures | Barrel Constrictor+Elemental Honing | Desperate Measures+Supercharged Magazine | Elemental Honing+Supercharged Magazine,851296754
54,Submersion,preferred,Combat Bow,Stasis,1,0,0,0,1,"Bolt Scavenger, Ensemble, Lead From Light","Aggregate Charge, Chill Clip, Collective Action",7,1,122,Aggregate Charge+Bolt Scavenger | Aggregate Charge+Ensemble | Bolt Scavenger+Chill Clip | Bolt Scavenger+Collective Action | Chill Clip+Ensemble | Chill Clip+Lead From Light | Collective Action+Lead From Light,3524386983
55,VS Chill Inhibitor,preferred,Grenade Launcher,Stasis,1,0,0,0,1,"Cascade Point, Chill Clip, Danger Zone","Aggregate Charge, Chain Reaction, Elemental Honing",9,1,234,Aggregate Charge+Cascade Point | Aggregate Charge+Chill Clip | Aggregate Charge+Danger Zone | Cascade Point+Chain Reaction | Cascade Point+Elemental Honing | Chain Reaction+Chill Clip | Chain Reaction+Danger Zone | Chill Clip+Elemental Honing | Danger Zone+Elemental Honing,2452936817
56,Drang,preferred,Sidearm,Solar,1,0,0,1,1,"Collective Pugilism, Disruption Break, Heal Clip","Aggregate Charge, Binary Orbit, Eye of the Storm",8,1,260,Aggregate Charge+Collective Pugilism | Aggregate Charge+Disruption Break | Aggregate Charge+Heal Clip | Binary Orbit+Collective Pugilism | Binary Orbit+Disruption Break | Collective Pugilism+Eye of the Storm | Disruption Break+Eye of the Storm | Eye of the Storm+Heal Clip,358190158
57,Resounding,preferred,Fusion Rifle,Strand,1,0,1,0,1,"Compulsive Reloader, Cornered, Feeding Frenzy","Aggregate Charge, One for All, Strategist",7,1,357,Aggregate Charge+Cornered | Compulsive Reloader+One for All | Compulsive Reloader+Strategist | Cornered+One for All | Cornered+Strategist | Feeding Frenzy+One for All | Feeding Frenzy+Strategist,3273807888
58,Corrective Measure (Timelost),preferred,Machine Gun,Void,0,1,0,1,0,"Collective Demolition, Demolitionist, Dynamic Sway Reduction","Aggregate Charge, Butterfly, Demoralize",9,1,367,Aggregate Charge+Collective Demolition | Aggregate Charge+Demolitionist | Aggregate Charge+Dynamic Sway Reduction | Butterfly+Collective Demolition | Butterfly+Demolitionist | Butterfly+Dynamic Sway Reduction | Collective Demolition+Demoralize | Demolitionist+Demoralize | Demoralize+Dynamic Sway Reduction,2334480463
59,Swordbreaker (Adept),preferred,Shotgun,Strand,0,1,0,1,0,"Elemental Capacitor, Fragile Focus, Paracausal Affinity","Aggregate Charge, Barrel Constrictor, Chaos Reshaped",8,1,560,Aggregate Charge+Elemental Capacitor | Aggregate Charge+Fragile Focus | Aggregate Charge+Paracausal Affinity | Barrel Constrictor+Elemental Capacitor | Barrel Constrictor+Fragile Focus | Barrel Constrictor+Paracausal Affinity | Chaos Reshaped+Elemental Capacitor | Chaos Reshaped+Paracausal Affinity,1239700299
60,Burden of Guilt,preferred,Fusion Rifle,Stasis,1,0,0,0,1,"Eye of the Storm, Rimestealer, Under Pressure","Aggregate Charge, Chill Clip, Closing Time",8,1,201,Aggregate Charge+Eye of the Storm | Aggregate Charge+Rimestealer | Aggregate Charge+Under Pressure | Chill Clip+Eye of the Storm | Chill Clip+Rimestealer | Chill Clip+Under Pressure | Closing Time+Eye of the Storm | Closing Time+Rimestealer,976459525
61,Found Verdict (Timelost),preferred,Shotgun,Arc,0,1,0,1,0,"Aggregate Charge, Barrel Constrictor, Slideshot","Gear Shift, One-Two Punch, Rolling Storm",8,1,369,Aggregate Charge+Gear Shift | Aggregate Charge+One-Two Punch | Aggregate Charge+Rolling Storm | Barrel Constrictor+Gear Shift | Barrel Constrictor+One-Two Punch | Barrel Constrictor+Rolling Storm | Gear Shift+Slideshot | Rolling Storm+Slideshot,851296754
